dim mu sigma meanW sdW
1 0 0 1 0
1 0 1 0.707081 0.207118
1 0 2 0.447182 0.24721
1 0 3 0.316236 0.216231
1 0 4 0.242532 0.18371
1 0 5 0.196144 0.157671
1 0 6 0.164421 0.137387
1 0 7 0.141417 0.121418
1 0 8 0.124025 0.108642
1 0 9 0.110408 0.0982182
1 0 10 0.0995037 0.0896027
1 1 0 0.606531 0.238651
1 1 1 0.550634 0.247436
1 1 2 0.404672 0.240913
1 1 3 0.300898 0.210358
1 1 4 0.235464 0.180021
1 1 5 0.192382 0.155371
1 1 6 0.162206 0.135895
1 1 7 0.140043 0.120431
1 1 8 0.123079 0.10793
1 1 9 0.109763 0.0977153
1 1 10 0.0990037 0.089202
1 2 0 0.135335 0.11702
1 2 1 0.260139 0.192467
1 2 2 0.299804 0.209921
1 2 3 0.258911 0.191876
1 2 4 0.215589 0.16911
1 2 5 0.181587 0.148613
1 2 6 0.155738 0.131484
1 2 7 0.135892 0.117426
1 2 8 0.120291 0.105821
1 2 9 0.107765 0.0961519
1 2 10 0.0975662 0.0880471
1 3 0 0.011109 0.0109856
1 3 1 0.0745361 0.0689805
1 3 2 0.181829 0.148767
1 3 3 0.201628 0.160974
1 3 4 0.186126 0.151483
1 3 5 0.164932 0.137729
1 3 6 0.145573 0.124382
1 3 7 0.129235 0.112533
1 3 8 0.115743 0.102346
1 3 9 0.104523 0.0935981
1 3 10 0.095149 0.0860957
1 4 0 0.000335463 0.00033535
1 4 1 0.012948 0.0127803
1 4 2 0.0903 0.0821459
1 4 3 0.142088 0.121899
1 4 4 0.151501 0.128549
1 4 5 0.14418 0.123392
1 4 6 0.132406 0.114875
1 4 7 0.120519 0.105994
1 4 8 0.109682 0.0976519
1 4 9 0.100197 0.0901579
1 4 10 0.0919174 0.0834686
1 5 0 3.72665e-06 3.72664e-06
1 5 1 0.00136425 0.00136239
1 5 2 0.0367015 0.0353545
1 5 3 0.0906138 0.0824029
1 5 4 0.116295 0.102771
1 5 5 0.121246 0.106546
1 5 6 0.11727 0.103518
1 5 7 0.110147 0.0980145
1 5 8 0.102318 0.0918487
1 5 9 0.0948218 0.0858306
1 5 10 0.0879154 0.0801862
1 6 0 1.523e-08 1.523e-08
1 6 1 8.70262e-05 8.70186e-05
1 6 2 0.0122195 0.0120702
1 6 3 0.052274 0.0495414
1 6 4 0.0841394 0.07706
1 6 5 0.0981252 0.0884967
1 6 6 0.101072 0.0908563
1 6 7 0.0986346 0.0889058
1 6 8 0.0940272 0.0851861
1 6 9 0.0886718 0.0808091
1 6 10 0.0832474 0.0763172
1 7 0 2.28973e-11 2.28973e-11
1 7 1 3.32612e-06 3.32611e-06
1 7 2 0.00333066 0.00331957
1 7 3 0.0272914 0.0265466
1 7 4 0.0573952 0.054101
1 7 5 0.0764329 0.0705909
1 7 6 0.0847911 0.0776016
1 7 7 0.0866444 0.0791372
1 7 8 0.0850803 0.0778416
1 7 9 0.0819026 0.0751945
1 7 10 0.0780698 0.0719749
1 8 0 1.26642e-14 1.26642e-14
1 8 1 7.33066e-08 7.33066e-08
1 8 2 0.000743117 0.000742565
1 8 3 0.012891 0.0127248
1 8 4 0.036921 0.0355578
1 8 5 0.0572597 0.0539811
1 8 6 0.0692259 0.0644337
1 8 7 0.0745608 0.0690015
1 8 8 0.0758179 0.0700695
1 8 9 0.0747511 0.0691633
1 8 10 0.0724792 0.067226
1 9 0 2.57676e-18 2.57676e-18
1 9 1 8.63004e-10 8.63004e-10
1 9 2 0.000135735 0.000135717
1 9 3 0.00550909 0.00547874
1 9 4 0.0223971 0.0218955
1 9 5 0.0413104 0.0396038
1 9 6 0.0550266 0.0519987
1 9 7 0.0629059 0.0589487
1 9 8 0.0665014 0.0620789
1 9 9 0.0673868 0.0628459
1 9 10 0.0666421 0.062201
1 10 0 1.92875e-22 1.92875e-22
1 10 1 4.90999e-12 4.90999e-12
1 10 2 2.02987e-05 2.02983e-05
1 10 3 0.00213028 0.00212574
1 10 4 0.0128056 0.0126416
1 10 5 0.0286597 0.0278384
1 10 6 0.0425661 0.0407542
1 10 7 0.0520172 0.0493114
1 10 8 0.057482 0.0541779
1 10 9 0.0600252 0.0564222
1 10 10 0.06065 0.0569716
2 0 0 1 0
2 0 1 0.500004 0.25
2 0 2 0.200027 0.160016
2 0 3 0.100021 0.0900169
2 0 4 0.0588171 0.0553576
2 0 5 0.0384635 0.0369841
2 0 6 0.0270438 0.0263124
2 0 7 0.0200107 0.0196103
2 0 8 0.01538 0.0151435
2 0 9 0.0122006 0.0120517
2 0 10 0.00990756 0.0098094
2 1 0 0.606531 0.238651
2 1 1 0.389229 0.23773
2 1 2 0.180945 0.148204
2 1 3 0.0951299 0.0860802
2 1 4 0.0571046 0.0538437
2 1 5 0.0377191 0.0362964
2 1 6 0.0266752 0.0259636
2 1 7 0.0197993 0.0194072
2 1 8 0.0152677 0.0150346
2 1 9 0.0121243 0.0119773
2 1 10 0.00985043 0.0097534
2 2 0 0.135335 0.11702
2 2 1 0.183955 0.150115
2 2 2 0.134088 0.116108
2 2 3 0.0818346 0.0751377
2 2 4 0.0522837 0.0495501
2 2 5 0.0356204 0.0343516
2 2 6 0.0255997 0.0249443
2 2 7 0.0192142 0.018845
2 2 8 0.0149227 0.0147
2 2 9 0.0119069 0.0117651
2 2 10 0.00970607 0.00961187
2 3 0 0.011109 0.0109856
2 3 1 0.0527328 0.0499521
2 3 2 0.0813046 0.0746942
2 3 3 0.063787 0.0597182
2 3 4 0.0451388 0.0431013
2 3 5 0.0323455 0.0312993
2 3 6 0.0239385 0.0233655
2 3 7 0.0182865 0.0179521
2 3 8 0.0143556 0.0141495
2 3 9 0.0115409 0.0114077
2 3 10 0.00947237 0.00938264
2 4 0 0.000335463 0.00033535
2 4 1 0.00916618 0.00908216
2 4 2 0.0403801 0.0387496
2 4 3 0.0449561 0.042935
2 4 4 0.0367368 0.0353872
2 4 5 0.0282746 0.0274751
2 4 6 0.0217692 0.0212953
2 4 7 0.0170415 0.0167511
2 4 8 0.0136071 0.013422
2 4 9 0.011067 0.0109445
2 4 10 0.00914262 0.00905903
2 5 0 3.72665e-06 3.72664e-06
2 5 1 0.000965307 0.000964376
2 5 2 0.0164234 0.0161537
2 5 3 0.0286488 0.027828
2 5 4 0.0282054 0.0274099
2 5 5 0.0237829 0.0232173
2 5 6 0.0192844 0.0189125
2 5 7 0.0155705 0.015328
2 5 8 0.0126883 0.0125273
2 5 9 0.0104728 0.0103631
2 5 10 0.0087502 0.00867363
2 6 0 1.523e-08 1.523e-08
2 6 1 6.15889e-05 6.15851e-05
2 6 2 0.00546546 0.00543559
2 6 3 0.0165263 0.0162532
2 6 4 0.0204139 0.0199972
2 6 5 0.01925 0.0188794
2 6 6 0.0166163 0.0163402
2 6 7 0.0139524 0.0137577
2 6 8 0.0116611 0.0115251
2 6 9 0.00979104 0.00969518
2 6 10 0.00828341 0.00821479
2 7 0 2.28973e-11 2.28973e-11
2 7 1 2.35271e-06 2.3527e-06
