image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	no	A	1.0	29.068883707497267	-1.0	29.068883707497267	0.5523170752607136	-1.0	0.5523170752607136	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.324555320336759	6.324555320336759	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.284271247461902	-1.0	29.068883707497267	-1.0	-1.0	-1.0	-1.0	-1.0	4.123105625617661	4.123105625617661	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.3701166050988027	0.23608834134288123	-1.0	-1.0	-1.0	-1.0	-1.0	71.13100054493859	66.73229518994304	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.280109889280518	-1.0	7.280109889280518	13.152946437965905	-1.0	13.152946437965905	5.0990195135927845	-1.0	5.0990195135927845	2.579505021093418	-1.0	2.579505021093418	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	92.27272727272727	-1.0	92.27272727272727	1.3980295566502463	-1.0	1.3980295566502463	-1.0	-1.0	
1	1	medium	A1	1.0	-1.0	31.38470965295043	31.38470965295043	-1.0	0.6554145643783804	0.6554145643783804	13.92838827718412	-1.0	13.92838827718412	-1.0	0.2962816319481588	-1.0	0.2962816319481588	-1.0	-1.0	7.211102550927978	7.211102550927978	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	33.1058907144937	33.1058907144937	-1.0	31.76476034853718	31.76476034853718	13.416407864998739	-1.0	13.416407864998739	-1.0	-1.0	7.615773105863909	7.615773105863909	-1.0	-1.0	-1.0	-1.0	33.61547262794322	33.61547262794322	6.708203932499369	-1.0	26.40075756488817	-1.0	0.3333333333333333	0.3694192580731196	-1.0	-1.0	-1.0	0.25409134249317833	-1.0	3.9451862290375743	6.546290783294026	-1.0	-1.0	-1.0	-1.0	66.27454457222856	-1.0	-1.0	-1.0	62.91476797077419	-1.0	-1.0	-1.0	-1.0	4.30866491652489	1.2188752351312928	27.78392641220927	-1.0	9.219544457292887	-1.0	9.219544457292887	16.401219466856727	-1.0	16.401219466856727	7.211102550927978	-1.0	7.211102550927978	2.2744399141496188	-1.0	2.2744399141496188	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	127.69354838709677	-1.0	127.69354838709677	1.3156498673740054	-1.0	1.3156498673740054	-1.0	-1.0	
1	2	small	A1	1.0	-1.0	31.064449134018133	31.064449134018133	-1.0	0.660796174103942	0.660796174103942	15.0	-1.0	15.0	-1.0	0.3185007711266894	-1.0	0.3185007711266894	-1.0	-1.0	8.06225774829855	8.06225774829855	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	32.14031735997639	32.14031735997639	-1.0	32.0	32.0	14.142135623730951	-1.0	14.142135623730951	-1.0	-1.0	9.055385138137417	9.055385138137417	-1.0	-1.0	-1.0	-1.0	33.015148038438355	33.015148038438355	8.0	-1.0	26.076809620810597	-1.0	-1.0	0.3743940974039791	-1.0	-1.0	-1.0	0.30678599553894814	-1.0	4.635463426902646	8.829744667909065	-1.0	-1.0	-1.0	-1.0	72.78392641220928	-1.0	-1.0	-1.0	74.05460409907715	-1.0	-1.0	-1.0	-1.0	2.489552921999156	5.640549432156831	31.847306464790428	-1.0	10.295630140987	-1.0	10.295630140987	18.973665961010276	-1.0	18.973665961010276	7.615773105863909	-1.0	7.615773105863909	2.491364395612199	-1.0	2.491364395612199	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	115.63451776649747	-1.0	115.63451776649747	1.4615013169446882	-1.0	1.4615013169446882	-1.0	-1.0	
1	3	small	A1	1.0	-1.0	31.25699921617557	31.25699921617557	-1.0	0.6373672459712738	0.6373672459712738	17.69180601295413	-1.0	17.69180601295413	-1.0	0.38551651320833885	-1.0	0.38551651320833885	-1.0	-1.0	6.708203932499369	6.708203932499369	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	32.14031735997639	32.14031735997639	-1.0	32.14031735997639	32.14031735997639	16.278820596099706	-1.0	16.278820596099706	-1.0	-1.0	7.280109889280518	7.280109889280518	-1.0	-1.0	-1.0	-1.0	33.06055050963308	33.06055050963308	10.63014581273465	-1.0	25.079872407968907	-1.0	0.3333333333333333	0.3333333333333333	-1.0	-1.0	-1.0	0.4238516703680285	-1.0	24.274441134439456	13.654785858284313	-1.0	-1.0	-1.0	-1.0	24.227745317954174	-1.0	-1.0	-1.0	51.91122711902469	-1.0	-1.0	-1.0	-1.0	17.36321401541477	17.16427113605414	41.024446327396475	-1.0	8.54400374531753	-1.0	8.54400374531753	15.652475842498529	-1.0	15.652475842498529	7.615773105863909	-1.0	7.615773105863909	2.055270768301462	-1.0	2.055270768301462	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	70.5925925925926	-1.0	70.5925925925926	1.4449108079748163	-1.0	1.4449108079748163	-1.0	-1.0	
1	4	medium	A1	1.0	-1.0	31.304951684997057	31.304951684997057	-1.0	0.6862415308995654	0.6862415308995654	13.038404810405298	-1.0	13.038404810405298	-1.0	0.2856114429660811	-1.0	0.2856114429660811	-1.0	-1.0	8.06225774829855	8.06225774829855	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	32.64965543462902	32.64965543462902	-1.0	32.7566787083184	32.7566787083184	11.704699910719626	-1.0	11.704699910719626	-1.0	-1.0	9.899494936611665	9.899494936611665	-1.0	-1.0	-1.0	-1.0	34.132096331752024	34.132096331752024	7.211102550927978	-1.0	25.942243542145693	-1.0	0.39153784848013456	0.4666666666666667	-1.0	-1.0	-1.0	0.27796757590425214	-1.0	4.281536235070604	19.53665493812838	-1.0	-1.0	-1.0	-1.0	73.12444224117289	-1.0	-1.0	-1.0	78.55066201149995	-1.0	-1.0	-1.0	-1.0	1.0416266760099688	11.44645909293854	38.916610327108174	-1.0	9.899494936611665	-1.0	9.899494936611665	19.1049731745428	-1.0	19.1049731745428	6.4031242374328485	-1.0	6.4031242374328485	2.9836955314492535	-1.0	2.9836955314492535	-1.0	-1.0	-1.0	3.0	-1.0	3.0	107.58510638297872	-1.0	107.58510638297872	1.5057846336398695	-1.0	1.5057846336398695	-1.0	-1.0	
1	5	no	A	1.0	28.844410203711913	-1.0	28.844410203711913	0.6620847108818944	-1.0	0.6620847108818944	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.810249675906654	7.810249675906654	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.600699292150182	-1.0	28.844410203711913	-1.0	-1.0	-1.0	-1.0	-1.0	7.810249675906654	7.810249675906654	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.3673632428705808	0.3673632428705808	-1.0	-1.0	-1.0	-1.0	-1.0	8.376005477426677	18.76486329289629	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.246211251235321	-1.0	8.246211251235321	16.278820596099706	-1.0	16.278820596099706	6.082762530298219	-1.0	6.082762530298219	2.6762216205243847	-1.0	2.6762216205243847	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	96.77857142857142	-1.0	96.77857142857142	1.5499298841242897	-1.0	1.5499298841242897	-1.0	-1.0	
1	6	medium	A1	1.0	-1.0	33.95585369269929	33.95585369269929	-1.0	0.6663136017983357	0.6663136017983357	14.866068747318506	-1.0	14.866068747318506	-1.0	0.30219582070172113	-1.0	0.30219582070172113	-1.0	-1.0	9.055385138137417	9.055385138137417	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	35.73513677041127	35.73513677041127	-1.0	33.83784863137726	33.83784863137726	13.601470508735444	-1.0	13.601470508735444	-1.0	-1.0	8.94427190999916	8.94427190999916	-1.0	-1.0	-1.0	-1.0	35.84689665786984	35.84689665786984	7.810249675906654	-1.0	28.460498941515414	-1.0	0.3596352866894135	-1.0	-1.0	-1.0	-1.0	0.27442420078285484	-1.0	9.920012962402055	10.304846468766016	-1.0	-1.0	-1.0	-1.0	53.51398792975033	-1.0	-1.0	-1.0	69.84423634340511	-1.0	-1.0	-1.0	-1.0	15.450666679328634	3.7517290705259825	45.62959860841028	-1.0	9.219544457292887	-1.0	9.219544457292887	16.401219466856727	-1.0	16.401219466856727	7.810249675906654	-1.0	7.810249675906654	2.099960967631011	-1.0	2.099960967631011	-1.0	-1.0	-1.0	3.1622776601683795	-1.0	3.1622776601683795	88.06372549019608	-1.0	88.06372549019608	1.4421374895630392	-1.0	1.4421374895630392	-1.0	-1.0	
1	7	medium	A1	1.0	-1.0	29.068883707497267	29.068883707497267	-1.0	0.6074501075707971	0.6074501075707971	15.811388300841896	-1.0	15.811388300841896	-1.0	0.3391877360614969	-1.0	0.3391877360614969	-1.0	-1.0	5.385164807134504	5.385164807134504	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30.870698080866262	30.870698080866262	-1.0	28.635642126552707	28.635642126552707	16.15549442140351	-1.0	16.15549442140351	-1.0	-1.0	5.0990195135927845	5.0990195135927845	-1.0	-1.0	-1.0	-1.0	30.463092423455635	30.463092423455635	9.486832980505138	-1.0	23.259406699226016	-1.0	-1.0	0.23852207234014097	-1.0	-1.0	-1.0	0.4078708069892782	-1.0	5.844565877386856	16.336042889718442	-1.0	-1.0	-1.0	-1.0	51.046485669613475	-1.0	-1.0	-1.0	44.306939697288726	-1.0	-1.0	-1.0	-1.0	0.8550973962667285	2.511363267163091	25.709953780811276	-1.0	8.94427190999916	-1.0	8.94427190999916	16.55294535724685	-1.0	16.55294535724685	6.708203932499369	-1.0	6.708203932499369	2.467567403109566	-1.0	2.467567403109566	-1.0	-1.0	-1.0	1.0	-1.0	1.0	105.97175141242938	-1.0	105.97175141242938	1.557018713013808	-1.0	1.557018713013808	-1.0	-1.0	
1	8	no	A	1.0	30.610455730027933	-1.0	30.610455730027933	0.5548140766584282	-1.0	0.5548140766584282	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30.479501308256342	-1.0	30.610455730027933	-1.0	-1.0	-1.0	-1.0	-1.0	3.1622776601683795	3.1622776601683795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.18181818181818182	0.125	-1.0	-1.0	-1.0	-1.0	-1.0	43.53119928561418	25.096250462692154	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.280109889280518	-1.0	7.280109889280518	12.36931687685298	-1.0	12.36931687685298	6.082762530298219	-1.0	6.082762530298219	2.033503168213695	-1.0	2.033503168213695	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	123.8076923076923	-1.0	123.8076923076923	1.4457906182044113	-1.0	1.4457906182044113	-1.0	-1.0	
1	9	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
