image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	no	B	0.08877615726062144	-1.0	-1.0	-1.0	38.99629298370551	17.72004514666935	2.0	0.36428571428571427	
1	1	large	E	0.11677203421346226	0.4394904458598726	0.034732664455557304	-1.0	190.57995386722516	71.84374247783626	2.0	0.4840764331210191	
1	2	no	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	3	no	B	0.15737410071942445	-1.0	-1.0	-1.0	80.04207634533348	33.24154027718932	2.0	0.32	
1	4	large	iso	0.27055702917771884	0.9003267973856209	-1.0	0.2199151927711913	33.94689480668592	16.1245154965971	2.0	0.08823529411764706	
1	5	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	6	medium	iso	0.25013743815283124	0.8593406593406593	-1.0	0.1894522853857386	51.788426749089616	18.439088914585774	5.0	0.2549450549450549	
1	7	no	B	0.16202270381836945	-1.0	-1.0	-1.0	12.0	6.0	1.0	0.1337579617834395	
1	8	medium	iso	0.24701561065197428	0.9033457249070632	-1.0	0.1877781505840721	65.60166554733789	24.20743687382041	5.0	0.26394052044609667	
1	9	no	A	0.2943201376936317	-1.0	-1.0	-1.0	56.201285219567495	26.92582403567252	1.0	0.13157894736842105	
1	10	small	api	0.1705282669138091	0.7880434782608695	-1.0	0.1774320019798273	81.3042132123632	28.838169849176825	4.0	0.483695652173913	
1	11	small	api	0.1160964666292765	0.5942028985507246	-1.0	0.050107640800863995	47.39288459481898	20.848857801796104	2.0	0.46859903381642515	
1	12	medium	iso	0.2264673311184939	0.7628361858190709	-1.0	0.1762033338006451	135.55741920879197	61.09980104159111	2.0	0.3765281173594132	
1	13	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	14	small	api	0.101716465352829	0.56875	-1.0	0.028840527393016725	40.429601536397186	13.03275925283613	2.0	0.38125	
2	15	medium	iso	0.2172043010752688	0.8935643564356436	-1.0	0.20450516939741586	49.607706879849225	19.026297590440446	4.0	0.15099009900990099	
2	16	no	B	0.11913954771097628	-1.0	-1.0	-1.0	27.657920763868972	13.45362404707371	3.0	0.24537037037037038	
2	17	medium	api	0.23084245597334602	0.8597938144329897	-1.0	0.259975210466162	52.660532282934085	24.041630560342615	1.0	0.07628865979381444	
2	18	no	B	0.12334801762114538	-1.0	-1.0	-1.0	20.778050766032287	10.0	2.0	0.2857142857142857	
2	19	small	api	0.07189973614775726	0.30275229357798167	0.03768208074460991	-1.0	26.59871799083188	8.23606797749979	1.0	0.3302752293577982	
2	20	no	B	0.06200997861724875	-1.0	-1.0	-1.0	15.620499351813308	7.810249675906654	1.0	0.40229885057471265	
2	21	no	B	0.08610400682011936	-1.0	-1.0	-1.0	70.90651500897866	32.449961479175904	1.0	0.32673267326732675	
2	22	no	B	0.08181818181818182	-1.0	-1.0	-1.0	42.727987713934574	20.12461179749811	2.0	0.41414141414141414	
2	23	medium	api	0.258309591642925	0.8511029411764706	-1.0	0.1946203094535088	41.44224220562848	17.029386365926403	1.0	0.0974264705882353	
2	24	large	iso	0.2919478182636077	0.8875192604006163	-1.0	0.16309974004243413	64.92114138866393	24.698178070456937	2.0	0.09090909090909091	
2	25	small	api	0.14798641436196022	0.740983606557377	-1.0	0.07801761435929362	32.9470161517687	13.152946437965905	2.0	0.2	
2	26	medium	iso	0.23256972111553784	0.8222698072805139	-1.0	0.10924040200642297	149.79391231093257	65.850832144898	3.0	0.17987152034261242	
2	27	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	28	medium	iso	0.20904255319148937	0.9185750636132316	-1.0	0.18764549008059747	64.56076290455465	26.825424421026653	6.0	0.356234096692112	
3	29	medium	iso	0.24069675376088678	0.8963815789473685	-1.0	0.2313524561069344	92.67565369541306	33.1547594742265	5.0	0.29769736842105265	
3	30	large	F	0.10857625686523024	0.4980544747081712	-1.0	0.010231387600031974	111.06983856160636	43.36308338453881	3.0	0.25680933852140075	
3	31	no	B	0.22335890878090367	-1.0	-1.0	-1.0	76.6385756793771	28.861739379323623	2.0	0.20610687022900764	
3	32	small	api	0.17692307692307693	0.8260869565217391	-1.0	0.18237162036130822	64.41680491339415	24.521851444883993	4.0	0.36141304347826086	
3	33	no	B	0.12974051896207583	-1.0	-1.0	-1.0	64.23785463798148	25.709920264364882	1.0	0.5769230769230769	
3	34	small	api	0.13671497584541062	0.8692579505300353	-1.0	0.2145350142942546	43.22521342971275	16.15549442140351	2.0	0.2756183745583039	
3	35	medium	iso	0.21436227224008575	0.86	-1.0	0.15871278769743796	75.75637622299612	29.157064055372622	4.0	0.385	
3	36	medium	iso	0.2277444019661387	0.8729016786570744	-1.0	0.21531395401126813	61.20929618273662	24.37156235693425	3.0	0.23980815347721823	
3	37	small	api	0.09164733178654293	0.4177215189873418	-1.0	0.01948949829895708	18.0	9.0	1.0	0.25949367088607594	
3	38	medium	iso	0.28326891220320266	0.7426900584795322	-1.0	0.16999283971709822	56.68473739331665	20.248456731316587	4.0	0.1539961013645224	
4	39	large	iso	0.2760765550239234	0.9272097053726169	-1.0	0.15687990919071237	69.9942578937059	23.853720883753127	3.0	0.2270363951473137	
4	40	small	api	0.09984152139461172	0.5634920634920635	-1.0	0.052073132165340485	17.773387165490547	8.385164807134505	2.0	0.3492063492063492	
4	41	no	A	0.3012884043607532	-1.0	-1.0	-1.0	67.04815045283459	32.0624390837628	1.0	0.125	
4	42	small	api	0.17747641509433962	0.8338870431893688	-1.0	0.12199158679995853	60.62399414906724	22.187027004227843	3.0	0.39867109634551495	
4	43	no	B	0.15416666666666667	-1.0	-1.0	-1.0	36.939978148954836	17.804493814764857	2.0	0.17117117117117117	
4	44	no	B	0.08055152394775036	-1.0	-1.0	-1.0	24.893295649501226	12.083045973594572	2.0	0.4774774774774775	
4	45	medium	iso	0.16775599128540306	0.9383116883116883	-1.0	0.201384837474678	60.409378087918725	25.21812873534665	3.0	0.23376623376623376	
4	46	small	api	0.11214953271028037	0.6011904761904762	-1.0	0.027317807014299793	34.69518302987061	14.06225774829855	7.0	0.49404761904761907	
4	47	large	F	0.042209250112258644	0.2127659574468085	0.053644548434455985	-1.0	32.73013234132133	12.17008732545826	1.0	0.776595744680851	
4	48	no	B	0.07686729514140682	-1.0	-1.0	-1.0	92.53525474247652	39.6232255123179	3.0	0.5	
4	49	no	B	0.2005813953488372	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.04710144927536232	
4	50	medium	iso	0.2518375241779497	0.9047619047619048	-1.0	0.2121083126402092	81.27594641858758	32.1725046566048	2.0	0.12903225806451613	
4	51	medium	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
