image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
3	0	medium	A1	1.0	-1.0	30.083217912982647	30.083217912982647	-1.0	0.7041948671773348	0.7041948671773348	10.63014581273465	-1.0	10.63014581273465	-1.0	0.2581227585676359	-1.0	0.2581227585676359	-1.0	-1.0	8.602325267042627	8.602325267042627	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30.870698080866262	30.870698080866262	-1.0	30.463092423455635	30.463092423455635	10.0	-1.0	10.0	-1.0	-1.0	9.219544457292887	9.219544457292887	-1.0	-1.0	-1.0	-1.0	31.304951684997057	31.304951684997057	5.656854249492381	-1.0	24.166091947189145	-1.0	0.46246387142126266	0.5	-1.0	-1.0	-1.0	0.23408229439226114	-1.0	19.592281891051528	24.655898744081618	-1.0	-1.0	-1.0	-1.0	76.86597769360368	-1.0	-1.0	-1.0	54.52002186577414	-1.0	-1.0	-1.0	-1.0	2.5261169116195603	1.789910608246089	24.775140568831915	-1.0	9.055385138137417	-1.0	9.055385138137417	18.027756377319946	-1.0	18.027756377319946	7.0	-1.0	7.0	2.575393768188564	-1.0	2.575393768188564	-1.0	-1.0	-1.0	1.0	-1.0	1.0	76.10285714285715	-1.0	76.10285714285715	1.156329779246133	-1.0	1.156329779246133	-1.0	-1.0	
3	1	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	2	no	A	1.0	22.20360331117452	-1.0	22.20360331117452	0.516223291305697	-1.0	0.516223291305697	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.4142135623730951	1.4142135623730951	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	24.186773244895647	-1.0	24.186773244895647	-1.0	-1.0	-1.0	-1.0	-1.0	3.1622776601683795	3.1622776601683795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0625	0.17541160386140586	-1.0	-1.0	-1.0	-1.0	-1.0	9.782407031807281	53.65254179111473	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	12.041594578792296	-1.0	12.041594578792296	22.360679774997898	-1.0	22.360679774997898	8.06225774829855	-1.0	8.06225774829855	2.773500981126146	-1.0	2.773500981126146	-1.0	-1.0	-1.0	4.0	-1.0	4.0	57.39784946236559	-1.0	57.39784946236559	1.6028475084301237	-1.0	1.6028475084301237	-1.0	-1.0	
3	3	small	A1	1.0	-1.0	22.135943621178654	22.135943621178654	-1.0	0.49987249776663784	0.49987249776663784	19.4164878389476	-1.0	19.4164878389476	-1.0	0.45765100725819935	-1.0	0.45765100725819935	-1.0	-1.0	3.1622776601683795	3.1622776601683795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	23.08679276123039	23.08679276123039	-1.0	23.194827009486403	23.194827009486403	18.788294228055936	-1.0	18.788294228055936	-1.0	-1.0	7.615773105863909	7.615773105863909	-1.0	-1.0	-1.0	-1.0	25.079872407968907	25.079872407968907	8.246211251235321	-1.0	8.06225774829855	-1.0	0.15871016626723794	0.38663230087833356	-1.0	-1.0	-1.0	1.0228166239135177	-1.0	81.86989764584402	86.6335393365702	-1.0	-1.0	-1.0	-1.0	70.49842300482203	-1.0	-1.0	-1.0	86.95626411234124	-1.0	-1.0	-1.0	-1.0	9.026252813516237	22.338718419363317	43.98520503988286	-1.0	17.029386365926403	-1.0	17.029386365926403	29.154759474226502	-1.0	29.154759474226502	16.1245154965971	-1.0	16.1245154965971	1.8081014266989475	-1.0	1.8081014266989475	-1.0	-1.0	-1.0	4.47213595499958	-1.0	4.47213595499958	43.851441241685144	-1.0	43.851441241685144	1.6419072660160792	-1.0	1.6419072660160792	-1.0	-1.0	
3	4	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	5	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	6	small	A1	1.0	-1.0	23.021728866442675	23.021728866442675	-1.0	0.5530172184069745	0.5530172184069745	15.620499351813308	-1.0	15.620499351813308	-1.0	0.39843545684666287	-1.0	0.39843545684666287	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	23.600847442411894	23.600847442411894	-1.0	21.095023109728988	21.095023109728988	17.69180601295413	-1.0	17.69180601295413	-1.0	-1.0	2.23606797749979	2.23606797749979	-1.0	-1.0	-1.0	-1.0	21.633307652783937	21.633307652783937	5.0	-1.0	16.401219466856727	-1.0	0.21052631578947367	0.125	-1.0	-1.0	-1.0	0.30485538042484617	-1.0	64.6538240580533	88.78112476486871	-1.0	-1.0	-1.0	-1.0	27.740538911469798	-1.0	-1.0	-1.0	2.4440680576354055	-1.0	-1.0	-1.0	-1.0	9.593134262730345	6.6893153976340685	0.8223709799981833	-1.0	10.63014581273465	-1.0	10.63014581273465	17.804493814764857	-1.0	17.804493814764857	8.602325267042627	-1.0	8.602325267042627	2.06973036499535	-1.0	2.06973036499535	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	65.45098039215686	-1.0	65.45098039215686	1.237567405632115	-1.0	1.237567405632115	-1.0	-1.0	
3	7	large	C	2.0	-1.0	19.79898987322333	-1.0	-1.0	0.49054910914579425	-1.0	17.46424919657298	21.95449840010015	-1.0	-1.0	0.47356594670895935	0.6640693534036318	-1.0	-1.0	39.41874759667313	1.0	-1.0	10.44030650891055	-1.0	16.64331697709324	-1.0	0.5034192329085313	-1.0	19.4164878389476	-1.0	-1.0	25.612496949731394	-1.0	11.180339887498949	21.540659228538015	-1.0	-1.0	32.720999116036964	6.082762530298219	-1.0	8.06225774829855	-1.0	14.317821063276353	-1.0	25.709920264364882	-1.0	3.1622776601683795	20.591260281974	5.0990195135927845	13.038404810405298	0.05263157894736842	0.3333333333333333	0.6725192619370456	0.5	6.511528238439882	0.6201736729460423	1.579277571251749	43.02506598911802	37.512611802856355	69.93429510257657	56.88865803962799	25.392922556142906	30.13409090834199	-1.0	-1.0	12.611885146599088	7.870716794400002	-1.0	-1.0	19.151635689123278	14.410467336924192	-1.0	3.2325401137458663	0.2968666673246947	-1.0	-1.0	16.55294535724685	5.0990195135927845	-1.0	31.38470965295043	8.54400374531753	-1.0	8.54400374531753	2.23606797749979	-1.0	3.6733024221987916	3.8209946349085593	-1.0	65.53127539296035	67.69036648032615	-1.0	6.324555320336759	3.1622776601683795	-1.0	44.72992700729927	34.23076923076923	43.82	1.5649477806788512	0.9640449438202247	1.597444089456869	0.0948905109489051	0.07261749347258485	
3	8	small	A1	1.0	-1.0	28.442925306655784	28.442925306655784	-1.0	0.6319089991590275	0.6319089991590275	15.524174696260024	-1.0	15.524174696260024	-1.0	0.3601518636749	-1.0	0.3601518636749	-1.0	-1.0	7.211102550927978	7.211102550927978	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.861739379323623	28.861739379323623	-1.0	29.427877939124322	29.427877939124322	14.560219778561036	-1.0	14.560219778561036	-1.0	-1.0	8.06225774829855	8.06225774829855	-1.0	-1.0	-1.0	-1.0	29.832867780352597	29.832867780352597	9.219544457292887	-1.0	22.80350850198276	-1.0	0.3561309707013459	0.39153784848013456	-1.0	-1.0	-1.0	0.40430377003131995	-1.0	31.087505323479974	27.1423190944424	-1.0	-1.0	-1.0	-1.0	32.417037505923076	-1.0	-1.0	-1.0	33.69006752597977	-1.0	-1.0	-1.0	-1.0	14.931417178137536	15.945395900922847	37.874983651098205	-1.0	7.810249675906654	-1.0	7.810249675906654	14.422205101855956	-1.0	14.422205101855956	5.830951894845301	-1.0	5.830951894845301	2.473387769603369	-1.0	2.473387769603369	-1.0	-1.0	-1.0	1.0	-1.0	1.0	91.33333333333333	-1.0	91.33333333333333	1.1605839416058394	-1.0	1.1605839416058394	-1.0	-1.0	
3	9	large	C	2.0	-1.0	16.97056274847714	-1.0	-1.0	0.37759006531653155	-1.0	28.42534080710379	20.808652046684813	-1.0	-1.0	0.756196389489061	0.5906878766377119	-1.0	-1.0	49.23399285378861	9.848857801796104	-1.0	3.605551275463989	-1.0	14.422205101855956	-1.0	0.40939805658416506	-1.0	11.0	-1.0	-1.0	15.556349186104045	-1.0	28.600699292150182	21.095023109728988	-1.0	-1.0	49.695722401879166	10.44030650891055	-1.0	4.123105625617661	-1.0	14.212670403551895	-1.0	10.04987562112089	-1.0	21.2602916254693	15.811388300841896	5.0	8.06225774829855	0.5242018079048992	0.5502524673073059	0.19999999999999998	0.2207047840876987	0.7437051466359119	4.25205832509386	1.9611613513818404	44.81694701415654	37.55370227357196	0.0	19.653824058053317	66.68477352583636	66.68477352583636	-1.0	-1.0	1.2907809104034342	1.2907809104034342	-1.0	-1.0	9.577395826232049	9.577395826232049	-1.0	7.831689534161093	10.651862006609583	-1.0	-1.0	7.810249675906654	9.219544457292887	-1.0	14.212670403551895	15.811388300841896	-1.0	5.0	5.385164807134504	-1.0	2.842534080710379	2.9361010975735176	-1.0	72.24134095426056	72.18786184454835	-1.0	1.4142135623730951	1.4142135623730951	-1.0	110.76666666666667	109.77235772357723	110.26337448559671	1.4805898284682515	1.320915419937787	1.487347913712025	1.025	1.0157989768281672	
