image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	F	0.34558823529411764	0.9348404255319149	-1.0	0.1660232787078921	68.06761928314339	25.632011235952593	2.0	0.07845744680851063	
1	1	medium	iso	0.20243433696348495	0.8291139240506329	-1.0	0.18824319938611417	48.05601470320955	16.278820596099706	4.0	0.3291139240506329	
1	2	no	B	0.1265993265993266	-1.0	-1.0	-1.0	66.06731208461942	29.832867780352597	2.0	0.39361702127659576	
1	3	small	api	0.13704918032786886	0.37799043062200954	0.03255544187597618	-1.0	12.32455532033676	6.0	2.0	0.15789473684210525	
1	4	large	iso	0.3948781495249897	0.899581589958159	-1.0	0.24790380826976693	103.50620336996423	37.04156390244281	6.0	0.12447698744769875	
1	5	no	B	0.0924683072334079	-1.0	-1.0	-1.0	18.08063480256309	8.54400374531753	2.0	0.3467741935483871	
1	6	large	E	0.09558232931726908	0.3949579831932773	0.025806092229272565	-1.0	176.46008047051293	75.82185055062214	3.0	0.3739495798319328	
1	7	large	E	0.11280898876404494	0.4302788844621514	0.06483705284692741	-1.0	164.3503124534774	67.70206771211565	2.0	0.5737051792828686	
1	8	medium	iso	0.19419354838709676	0.8372093023255814	-1.0	0.11426904624320108	43.87653390985275	18.027756377319946	4.0	0.24916943521594684	
1	9	small	api	0.12333333333333334	0.7297297297297297	-1.0	0.04544741394251716	39.076447200372556	16.76486182924731	4.0	0.3027027027027027	
1	10	medium	iso	0.19635508524397413	0.8143712574850299	-1.0	0.15777614765978754	85.18734288295867	33.25930258904776	4.0	0.4281437125748503	
1	11	small	api	0.15157750342935528	0.5656108597285068	-1.0	0.03466195630013823	40.082395537401254	16.835317563156796	3.0	0.4072398190045249	
3	12	small	api	0.17595701813297515	0.5648854961832062	-1.0	0.10888811329849582	21.292516308240177	10.04987562112089	2.0	0.12595419847328243	
3	13	medium	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	14	large	api	0.34910358565737054	0.9372325249643366	-1.0	0.32208944852510724	65.41994014108644	24.20743687382041	4.0	0.1797432239657632	
3	15	medium	iso	0.2806466097889537	0.8912	-1.0	0.23576408207511917	67.97511237364151	25.45584412271571	2.0	0.1712	
3	16	large	iso	0.2961439588688946	0.9496527777777778	-1.0	0.21648455264859173	67.69033190336218	23.600847442411894	2.0	0.15625	
3	17	large	F	0.1319080274304155	0.5840978593272171	-1.0	2.574477308104454E-4	143.36951230151234	57.495097567963924	6.0	0.363914373088685	
3	18	large	api	0.29811924769907966	0.7422818791946308	-1.0	0.2114983567949965	164.5357524870319	72.30495168499706	3.0	0.10201342281879194	
3	19	small	api	0.11645870469399881	0.8061224489795918	-1.0	0.13680982155606375	43.78914602881579	16.015310619869155	2.0	0.5051020408163265	
3	20	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	21	large	iso	0.3130122950819672	0.9230769230769231	-1.0	0.1834350312134401	77.39071667378917	30.0	3.0	0.14729950900163666	
3	22	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	23	large	E	0.15543219666931007	0.45153061224489793	-1.0	0.02600010912034567	130.79602823421706	51.86607024569907	1.0	0.34438775510204084	
3	24	medium	iso	0.2350132625994695	0.8645598194130926	-1.0	0.21598635303477162	54.38325919764236	19.72308292331602	1.0	0.2076749435665914	
3	25	large	E	0.2803904170363798	0.7879746835443038	-1.0	0.26463545629986707	136.53820326561774	63.84945638369214	1.0	0.06487341772151899	
3	26	no	B	0.19368600682593856	-1.0	-1.0	-1.0	47.90596721663456	22.825424421026653	1.0	0.2422907488986784	
3	27	large	iso	0.36766121270452357	0.943717277486911	-1.0	0.2165187569642313	73.16692883521338	24.758836806279895	1.0	0.14659685863874344	
3	28	no	B	0.1778846153846154	-1.0	-1.0	-1.0	33.94112549695428	16.97056274847714	1.0	0.08108108108108109	
3	29	no	B	0.10466988727858294	-1.0	-1.0	-1.0	31.392767850333097	15.556349186104045	3.0	0.5923076923076923	
4	30	large	iso	0.2811181434599156	0.9849906191369606	-1.0	0.2178005621200704	66.58661779676527	22.847319317591726	2.0	0.14446529080675422	
4	31	large	api	0.3383458646616541	0.917037037037037	-1.0	0.2314349356638886	38.325831323310865	18.439088914585774	3.0	0.05925925925925926	
4	32	small	api	0.1203883495145631	0.553763440860215	-1.0	0.05083720777967485	23.692701136421018	10.602325267042627	1.0	0.5376344086021505	
4	33	small	api	0.08346333853354135	0.12149532710280374	0.207012120804573	-1.0	58.82176467941097	29.410882339705484	1.0	0.22429906542056074	
4	34	no	B	0.08838568298027757	-1.0	-1.0	-1.0	25.66707860651969	12.529964086141668	3.0	0.2975206611570248	
4	35	no	A	0.2626131953428202	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	
4	36	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	37	large	F	0.11188524590163934	0.5238095238095238	0.02281452737735797	-1.0	185.6327123315835	64.78740407394427	3.0	0.5970695970695971	
4	38	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	39	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	40	medium	api	0.2611209964412811	0.9080068143100511	-1.0	0.26973966168170016	0.0	0.0	0.0	0.022146507666098807	
4	41	no	B	0.03508771929824561	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	
4	42	small	api	0.12642857142857142	0.07909604519774012	0.03229586423520653	-1.0	19.3863279171168	9.486832980505138	1.0	0.2768361581920904	
6	43	large	iso	0.2999006951340616	0.9221854304635762	-1.0	0.20109311977473082	74.74282357958016	27.294688127912362	6.0	0.21688741721854304	
6	44	medium	iso	0.2037037037037037	0.7595307917888563	-1.0	0.13077828589742205	66.34965642428524	24.055385138137417	5.0	0.375366568914956	
6	45	no	B	0.18629173989455183	-1.0	-1.0	-1.0	78.25687469864016	31.32091952673165	2.0	0.35377358490566035	
6	46	no	B	0.09818481848184818	-1.0	-1.0	-1.0	55.76380401243075	27.0	2.0	0.3697478991596639	
6	47	medium	api	0.2808586762075134	0.8301486199575372	-1.0	0.15447800017973565	69.8019360650787	28.881359428609706	3.0	0.13588110403397027	
6	48	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	49	large	E	0.32329842931937175	0.8690958164642375	-1.0	0.15944734110660988	0.0	0.0	0.0	0.0	
6	50	small	api	0.11365260900643316	0.3584905660377358	0.032488825971252085	-1.0	96.03307460548123	43.9309752688973	3.0	0.389937106918239	
6	51	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	52	medium	iso	0.15085158150851583	0.9717741935483871	-1.0	0.1927441910826333	43.65378128911599	15.297058540778355	3.0	0.3346774193548387	
6	53	large	iso	0.35511363636363635	0.8925714285714286	-1.0	0.21691741707707615	39.698866482558415	19.849433241279208	1.0	0.04114285714285714	
6	54	large	iso	0.3012372243141474	0.9178571428571428	-1.0	0.22330095964382246	119.6990445142536	45.54883837103202	3.0	0.20892857142857144	
6	55	small	api	0.2798998121477771	0.22818791946308725	0.06848358653980886	-1.0	0.0	0.0	0.0	0.0	
6	56	no	A	0.5771869639794168	-1.0	-1.0	-1.0	87.04758418274379	32.55764119219941	1.0	0.11292719167904904	
6	57	medium	iso	0.3649754500818331	0.70254110612855	-1.0	0.14945325873098964	34.23448553724738	17.11724276862369	1.0	0.03736920777279522	
6	58	large	E	0.0989345509893455	0.46923076923076923	-1.0	0.00446260303281448	115.36455974625255	49.281551591284156	3.0	0.38846153846153847	
7	59	medium	iso	0.1646234676007005	0.900709219858156	-1.0	0.13422159788150428	41.021679408578215	15.033296378372908	4.0	0.3333333333333333	
7	60	small	api	0.150390625	0.5064935064935064	-1.0	0.02014782021038288	24.47213595499958	10.0	2.0	0.20346320346320346	
7	61	no	B	0.14635958395245172	-1.0	-1.0	-1.0	94.091161783704	38.58756276314948	2.0	0.34517766497461927	
7	62	large	iso	0.36102088167053364	0.9113110539845758	-1.0	0.18983881764452665	55.9793970369507	26.076809620810597	1.0	0.05012853470437018	
7	63	medium	F	0.2849887133182844	0.80990099009901	-1.0	0.08660196178596641	16.1245154965971	8.06225774829855	1.0	0.039603960396039604	
7	64	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
7	65	large	F	0.09865659109991604	0.5404255319148936	0.009728411483241108	-1.0	146.75160522952024	65.18012122534137	4.0	0.39574468085106385	
7	66	small	api	0.12693082605775688	0.48148148148148145	-1.0	0.049292342973653175	18.77995987511004	6.708203932499369	1.0	0.30687830687830686	
7	67	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
7	68	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
7	69	no	B	0.06403162055335969	-1.0	-1.0	-1.0	19.79898987322333	9.899494936611665	1.0	0.35802469135802467	
