image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
2	0	no	B	0.1058911260253542	-1.0	-1.0	-1.0	18.867962264113206	9.433981132056603	1.0	0.4507042253521127	
2	1	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	2	large	iso	0.21091617933723197	0.8502772643253235	-1.0	0.3058436804492858	53.940133540176355	25.495097567963924	1.0	0.07393715341959335	
2	3	large	iso	0.311437758383096	0.9070796460176991	-1.0	0.21467011470269926	44.70605912013232	21.213203435596427	1.0	0.07374631268436578	
2	4	large	iso	0.34917077543702374	0.8369704749679076	-1.0	0.24069225730583102	73.01848377783143	25.298221281347036	3.0	0.13222079589216945	
2	5	small	api	0.1332470892626132	0.5097087378640777	-1.0	0.04169762920314451	42.64579116929025	15.457313802163299	1.0	0.33980582524271846	
2	6	medium	iso	0.25962910128388017	0.7362637362637363	-1.0	0.22163502578879088	49.74280820339242	20.248456731316587	1.0	0.08608058608058608	
2	7	large	F	0.10573042776432606	0.5763358778625954	-1.0	0.04608449015844841	193.13010422371642	74.93650785795836	2.0	0.816793893129771	
2	8	small	api	0.14705882352941177	0.21333333333333335	0.06190030402516861	-1.0	28.566088738433226	11.045361017187261	2.0	0.3244444444444444	
3	9	medium	api	0.28133704735376047	0.8967468175388967	-1.0	0.27008052145287414	63.45704847943275	22.360679774997898	3.0	0.16548797736916548	
3	10	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	11	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	12	medium	api	0.2580357142857143	0.773356401384083	-1.0	0.25114618510175185	69.10802058323921	27.571224567837014	4.0	0.1314878892733564	
3	13	small	api	0.14079229122055675	0.6615969581749049	-1.0	0.07160642595558309	57.30552376203023	18.21110255092798	6.0	0.4296577946768061	
3	14	large	api	0.08794587945879459	0.7867132867132867	-1.0	0.34823123593810495	151.54353112975895	55.82249933996909	2.0	0.46153846153846156	
3	15	small	api	0.1628764597418562	0.5433962264150943	-1.0	0.059343451310788616	34.47955672326918	15.0	3.0	0.24150943396226415	
3	16	large	iso	0.20548604427333975	0.7494145199063232	-1.0	0.21713839370731416	81.51589225135011	36.82531897228419	2.0	0.1756440281030445	
3	17	large	api	0.38617200674536256	0.9203056768558951	-1.0	0.2691260007984241	166.52129490118742	72.01599670928059	1.0	0.13427947598253276	
3	18	medium	iso	0.10010111223458039	0.9848484848484849	-1.0	0.23620005014651166	37.30670073169203	18.027756377319946	2.0	0.25757575757575757	
3	19	large	api	0.09381980640357408	0.7698412698412699	-1.0	0.3058594970571344	113.84491772176341	47.20503944463478	1.0	0.373015873015873	
3	20	large	iso	0.3026692087702574	0.9338582677165355	-1.0	0.21606466614910919	72.8546750656853	25.80697580112788	3.0	0.2078740157480315	
3	21	small	api	0.1839911061700945	0.2809667673716012	0.028011720861534667	-1.0	25.294114886736505	10.12899020449196	1.0	0.14803625377643503	
3	22	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	23	no	B	0.07176470588235294	-1.0	-1.0	-1.0	21.446799639126617	10.63014581273465	1.0	0.4426229508196721	
3	24	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	25	small	api	0.17339667458432304	0.660958904109589	-1.0	0.05766665230830013	61.03748345790514	19.860213191601495	5.0	0.3493150684931507	
3	26	large	E	0.13251670378619154	0.5966386554621849	-1.0	0.12454180732903194	205.37189088898288	73.79324776568478	5.0	0.33613445378151263	
4	27	no	B	0.21242019733023795	-1.0	-1.0	-1.0	73.37574531137656	36.68787265568828	1.0	0.06284153005464481	
4	28	small	api	0.10419313850063533	0.13414634146341464	0.1605851872410922	-1.0	0.0	0.0	0.0	0.07317073170731707	
4	29	small	api	0.11051693404634581	0.40860215053763443	-1.0	0.00520165414355788	71.68648392163792	34.30495168499706	4.0	0.25806451612903225	
4	30	small	api	0.12447636146020347	0.14903846153846154	0.17070207473089322	-1.0	108.27063229280816	47.057937639529726	4.0	0.46634615384615385	
4	31	medium	iso	0.299	0.8327759197324415	-1.0	0.19360867238904753	72.24655223950221	29.86429112331279	2.0	0.12040133779264214	
4	32	no	B	0.09258160237388724	-1.0	-1.0	-1.0	11.661903789690601	5.830951894845301	1.0	0.14743589743589744	
4	33	small	api	0.1211734693877551	0.6210526315789474	-1.0	0.09309692830642603	42.37304972147461	14.518453608406023	2.0	0.45789473684210524	
4	34	small	api	0.23366013071895425	0.6783216783216783	-1.0	0.1325133520963947	56.76145091022761	21.025081312246428	5.0	0.2773892773892774	
4	35	no	B	0.10810810810810811	-1.0	-1.0	-1.0	104.70507115822356	39.6232255123179	3.0	0.4358974358974359	
4	36	no	B	0.11505681818181818	-1.0	-1.0	-1.0	96.09125330406759	40.11234224026316	2.0	0.4506172839506173	
4	37	small	api	0.1286153846153846	0.69377990430622	-1.0	0.11186886489909176	22.230534488183856	7.615773105863909	1.0	0.3875598086124402	
4	38	large	E	0.07156099369670003	0.48704663212435234	0.003723913954338718	-1.0	29.88671732529697	14.342617547667329	2.0	0.32642487046632124	
4	39	small	api	0.16276346604215455	0.8633093525179856	-1.0	0.15762174551021083	57.1991005287029	19.723395884295105	5.0	0.34532374100719426	
4	40	small	api	0.17142857142857143	0.5185185185185185	-1.0	0.026751247339794018	30.566716155254134	13.54400374531753	1.0	0.23148148148148148	
6	41	no	B	0.04383007417397168	-1.0	-1.0	-1.0	67.65869934768554	31.400636936215164	1.0	0.7538461538461538	
6	42	small	api	0.1369716425896201	0.28125	0.08698722722402394	-1.0	16.139944978762117	8.06225774829855	2.0	0.1640625	
6	43	no	B	0.13074204946996468	-1.0	-1.0	-1.0	105.88033409502754	42.95346318982906	2.0	0.21621621621621623	
6	44	small	api	0.22138728323699422	0.7154046997389034	-1.0	0.1181399209919783	131.19022001592495	58.64813290391264	5.0	0.30548302872062666	
6	45	small	api	0.1892361111111111	0.581039755351682	-1.0	0.11905905834765965	53.309651034647146	18.749798511291665	1.0	0.26605504587155965	
6	46	small	api	0.14935822637106183	0.54296875	-1.0	0.03810687250215052	31.183408058151027	11.423574833929543	2.0	0.18359375	
6	47	large	E	0.12945454545454546	0.6348314606741573	-1.0	0.020818163266383544	52.62476142283107	18.116428829052737	1.0	0.26685393258426965	
6	48	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	49	small	api	0.14322414900449582	0.5515695067264574	-1.0	0.01865533042805563	85.91492972229719	37.599742856812966	4.0	0.2645739910313901	
6	50	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	51	no	B	0.05555555555555555	-1.0	-1.0	-1.0	18.867962264113206	9.433981132056603	1.0	0.4636363636363636	
6	52	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	53	medium	api	0.3245967741935484	0.8245341614906833	-1.0	0.2279401627370272	140.3190558125144	61.71511950137164	3.0	0.14906832298136646	
6	54	no	B	0.12307692307692308	-1.0	-1.0	-1.0	18.867962264113206	9.433981132056603	1.0	0.12980769230769232	
6	55	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	56	large	api	0.33562901744719925	0.8071135430916553	-1.0	0.17581928654739248	70.26912742646749	27.730849247724095	2.0	0.12722298221614228	
10	57	small	api	0.13935764833968428	0.89453125	-1.0	0.16622686759087327	58.591884021447555	23.82544670112306	4.0	0.41015625	
10	58	no	B	0.05605381165919283	-1.0	-1.0	-1.0	83.35678693859855	35.84689665786984	1.0	0.44	
10	59	large	E	0.1429610767551837	0.5318066157760815	-1.0	0.012949565724820172	60.358005917694925	24.74504210357609	1.0	0.21882951653944022	
10	60	no	B	0.08181818181818182	-1.0	-1.0	-1.0	75.56344796928794	34.23448553724738	2.0	0.5462962962962963	
10	61	large	api	0.1113251155624037	0.8754325259515571	-1.0	0.3215347697662538	93.15455329808094	38.457608530049455	2.0	0.21107266435986158	
10	62	medium	iso	0.2732160312805474	0.8121645796064401	-1.0	0.17612721162820386	96.48730468677525	41.4656529495407	5.0	0.25760286225402507	
10	63	small	api	0.12309567336989641	0.20297029702970298	0.042914015718350074	-1.0	11.313708498984761	5.656854249492381	1.0	0.15346534653465346	
10	64	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
10	65	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
10	66	small	api	0.0777846919726198	0.248	0.034943165539959374	-1.0	94.9651822034661	36.905939624219215	2.0	0.568	
10	67	large	iso	0.36795048143053644	0.9429906542056075	-1.0	0.2682566746216081	98.42565437206169	37.687630663432515	2.0	0.11401869158878504	
10	68	medium	iso	0.22108108108108107	0.7799511002444988	-1.0	0.14623424364159476	60.034782439815025	21.128010435623658	3.0	0.2591687041564792	
11	69	small	api	0.14403973509933773	0.632183908045977	-1.0	0.1108905545903963	85.0025160167074	35.17148289900081	4.0	0.36398467432950193	
11	70	medium	iso	0.17623188405797102	0.9210526315789473	-1.0	0.14879068100153572	62.60638228221571	27.39320042697486	2.0	0.13815789473684212	
11	71	small	api	0.12920353982300886	0.4474885844748858	0.014630500494398568	-1.0	34.3332308332336	12.727679557769608	2.0	0.3424657534246575	
11	72	no	B	0.09330628803245436	-1.0	-1.0	-1.0	26.137424323998083	13.038404810405298	1.0	0.36231884057971014	
11	73	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
11	74	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
11	75	no	B	0.10208333333333333	-1.0	-1.0	-1.0	30.387491754959136	14.7648230602334	2.0	0.36054421768707484	
11	76	no	B	0.0732662192393736	-1.0	-1.0	-1.0	14.545728536964168	7.211102550927978	2.0	0.40458015267175573	
11	77	medium	iso	0.16995205114544487	0.8996865203761756	-1.0	0.20583529559349967	46.62633870538893	17.11724276862369	1.0	0.329153605015674	
