image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	small	A1	1.0	-1.0	25.709920264364882	25.709920264364882	-1.0	0.605988632089928	0.605988632089928	15.231546211727817	-1.0	15.231546211727817	-1.0	0.37283426941547265	-1.0	0.37283426941547265	-1.0	-1.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.632011235952593	25.632011235952593	-1.0	32.2490309931942	32.2490309931942	10.63014581273465	-1.0	10.63014581273465	-1.0	-1.0	11.045361017187261	11.045361017187261	-1.0	-1.0	-1.0	-1.0	31.78049716414141	31.78049716414141	5.385164807134504	-1.0	16.15549442140351	-1.0	0.24028466566610635	0.5236003278940785	-1.0	-1.0	-1.0	0.33333333333333337	-1.0	28.739795291688054	2.9356734464211627	-1.0	-1.0	-1.0	-1.0	25.057615418302987	-1.0	-1.0	-1.0	43.49256424122501	-1.0	-1.0	-1.0	-1.0	3.366460663429791	22.249023657212355	21.991129917177147	-1.0	12.36931687685298	-1.0	12.36931687685298	24.041630560342615	-1.0	24.041630560342615	8.246211251235321	-1.0	8.246211251235321	2.91547594742265	-1.0	2.91547594742265	-1.0	-1.0	-1.0	7.280109889280518	-1.0	7.280109889280518	112.91082802547771	-1.0	112.91082802547771	1.0096463022508038	-1.0	1.0096463022508038	-1.0	-1.0	
1	1	no	A	1.0	27.892651361962706	-1.0	27.892651361962706	0.5934606672758023	-1.0	0.5934606672758023	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.06225774829855	8.06225774829855	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	27.65863337187866	-1.0	27.65863337187866	-1.0	-1.0	-1.0	-1.0	-1.0	7.211102550927978	7.211102550927978	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.39153784848013456	0.3561309707013459	-1.0	-1.0	-1.0	-1.0	-1.0	60.25511870305779	56.309932474020215	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.06225774829855	-1.0	8.06225774829855	14.212670403551895	-1.0	14.212670403551895	6.4031242374328485	-1.0	6.4031242374328485	2.2196462034055524	-1.0	2.2196462034055524	-1.0	-1.0	-1.0	1.0	-1.0	1.0	141.46527777777777	-1.0	141.46527777777777	1.3572235040007854	-1.0	1.3572235040007854	-1.0	-1.0	
1	2	large	C	2.0	-1.0	24.020824298928627	-1.0	-1.0	0.4965694277552703	-1.0	24.351591323771842	18.439088914585774	-1.0	-1.0	0.5094296806845507	0.40189574521728016	-1.0	-1.0	42.790680238357616	2.0	-1.0	5.0	-1.0	27.51363298439521	-1.0	0.5996832101151922	-1.0	23.53720459187964	-1.0	-1.0	25.019992006393608	-1.0	24.166091947189145	17.72004514666935	-1.0	-1.0	41.886137093858494	4.123105625617661	-1.0	5.385164807134504	-1.0	28.160255680657446	-1.0	24.186773244895647	-1.0	17.08800749063506	12.36931687685298	18.439088914585774	21.18962010041709	0.09090909090909091	0.18275344379265376	0.2065480961930069	-1.0	0.7238595186496659	0.9267273220380224	0.5837441548378447	82.8749836510982	83.08877288097533	21.614778942786245	6.546290783294037	9.188836077358758	13.91249467652002	-1.0	-1.0	1.6929784376289003	6.416637036790162	-1.0	-1.0	0.14616238577949048	4.577496213381782	-1.0	4.558134037179068	9.82308079178488	-1.0	-1.0	8.602325267042627	8.94427190999916	-1.0	16.64331697709324	15.231546211727817	-1.0	6.4031242374328485	6.708203932499369	-1.0	2.5992494226171545	2.270584848790187	-1.0	92.5562215932396	91.97800127428229	-1.0	2.23606797749979	1.4142135623730951	-1.0	110.88957055214723	119.5	114.957928802589	1.4699308437067773	1.2301255230125523	1.4179100275885368	0.8957055214723927	0.9652558782849239	
1	3	large	A1	1.0	-1.0	36.6742416417845	36.6742416417845	-1.0	0.6856495783453929	0.6856495783453929	13.601470508735444	-1.0	13.601470508735444	-1.0	0.27529731423482473	-1.0	0.27529731423482473	-1.0	-1.0	10.0	10.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	36.71511950137164	36.71511950137164	-1.0	39.824615503479755	39.824615503479755	10.0	-1.0	10.0	-1.0	-1.0	13.45362404707371	13.45362404707371	-1.0	-1.0	-1.0	-1.0	39.96248240537617	39.96248240537617	6.4031242374328485	-1.0	30.886890422961002	-1.0	-1.0	0.5586313323805256	-1.0	-1.0	-1.0	0.20730880155785544	-1.0	15.068488159492208	20.185803009464852	-1.0	-1.0	-1.0	-1.0	52.81217422079473	-1.0	-1.0	-1.0	78.74108779701189	-1.0	-1.0	-1.0	-1.0	7.236922025968006	6.394397765227588	39.89783474764182	-1.0	9.848857801796104	-1.0	9.848857801796104	18.867962264113206	-1.0	18.867962264113206	7.211102550927978	-1.0	7.211102550927978	2.6165155925684536	-1.0	2.6165155925684536	-1.0	-1.0	-1.0	3.605551275463989	-1.0	3.605551275463989	113.07929515418502	-1.0	113.07929515418502	1.4149363044917995	-1.0	1.4149363044917995	-1.0	-1.0	
1	4	large	C	2.0	-1.0	14.866068747318506	-1.0	-1.0	0.29450754468697576	-1.0	33.12099032335839	30.4138126514911	-1.0	-1.0	0.7105153266836474	0.6981082370540989	-1.0	-1.0	63.53480297484949	11.40175425099138	-1.0	11.661903789690601	-1.0	17.46424919657298	-1.0	0.40086839350920017	-1.0	14.212670403551895	-1.0	-1.0	14.866068747318506	-1.0	33.12099032335839	30.886890422961002	-1.0	-1.0	64.00788074631939	11.40175425099138	-1.0	12.529964086141668	-1.0	17.88854381999832	-1.0	14.212670403551895	-1.0	25.059928172283335	23.706539182259394	7.810249675906654	9.848857801796104	0.4710021267605585	0.4710021267605585	0.5311851620184319	0.583578607664135	0.9459938998739506	3.208595014521639	2.407034364729696	18.434948822922024	18.434948822922024	51.27107744950115	53.62437431560946	28.131342364061027	27.342271827956182	-1.0	-1.0	3.950844792005004	4.739915328109863	-1.0	-1.0	18.932477364395922	19.72154790050078	-1.0	4.658836448956539	4.658836448956539	-1.0	-1.0	8.54400374531753	8.602325267042627	-1.0	14.866068747318506	15.264337522473747	-1.0	6.324555320336759	6.708203932499369	-1.0	2.3505318547086316	2.275473088783468	-1.0	86.37049504064706	85.95974691842423	-1.0	0.0	1.0	-1.0	95.8375	105.12738853503184	100.4384858044164	1.2208164862397286	1.3697667373523175	1.4337133703947988	0.98125	1.076366244945872	
1	5	small	A1	1.0	-1.0	24.186773244895647	24.186773244895647	-1.0	0.4960932776975448	0.4960932776975448	20.248456731316587	-1.0	20.248456731316587	-1.0	0.4505222492060775	-1.0	0.4505222492060775	-1.0	-1.0	2.23606797749979	2.23606797749979	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.495097567963924	25.495097567963924	-1.0	27.730849247724095	27.730849247724095	19.235384061671343	-1.0	19.235384061671343	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	28.319604517012593	28.319604517012593	14.866068747318506	-1.0	19.849433241279208	-1.0	0.10635890745287926	0.147689134796412	-1.0	-1.0	-1.0	0.7489417237567663	-1.0	87.87890360333854	9.246112745563266	-1.0	-1.0	-1.0	-1.0	60.02239341520263	-1.0	-1.0	-1.0	71.43687291325445	-1.0	-1.0	-1.0	-1.0	4.279463530245222	6.972769286026448	29.054604099077146	-1.0	10.63014581273465	-1.0	10.63014581273465	19.4164878389476	-1.0	19.4164878389476	5.830951894845301	-1.0	5.830951894845301	3.329900192816242	-1.0	3.329900192816242	-1.0	-1.0	-1.0	4.0	-1.0	4.0	110.3495145631068	-1.0	110.3495145631068	1.1146401548477918	-1.0	1.1146401548477918	-1.0	-1.0	
1	6	small	A1	1.0	-1.0	25.495097567963924	25.495097567963924	-1.0	0.5556875008265184	0.5556875008265184	19.313207915827967	-1.0	19.313207915827967	-1.0	0.43304898432572325	-1.0	0.43304898432572325	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.298221281347036	25.298221281347036	-1.0	26.92582403567252	26.92582403567252	17.72004514666935	-1.0	17.72004514666935	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	26.92582403567252	26.92582403567252	11.704699910719626	-1.0	19.924858845171276	-1.0	0.1732717365533736	0.18181818181818182	-1.0	-1.0	-1.0	0.5874420492347037	-1.0	51.340191745909905	17.650124219930124	-1.0	-1.0	-1.0	-1.0	73.72478853993243	-1.0	-1.0	-1.0	70.6572714816435	-1.0	-1.0	-1.0	-1.0	7.8580077533821395	2.9970425802836758	13.392497753751098	-1.0	9.219544457292887	-1.0	9.219544457292887	16.64331697709324	-1.0	16.64331697709324	7.211102550927978	-1.0	7.211102550927978	2.3080127982580767	-1.0	2.3080127982580767	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	151.65425531914894	-1.0	151.65425531914894	1.6089228718740134	-1.0	1.6089228718740134	-1.0	-1.0	
1	7	large	C	2.0	-1.0	20.518284528683193	-1.0	-1.0	0.39155320346471617	-1.0	31.11269837220809	23.853720883753127	-1.0	-1.0	0.605300833608626	0.49609199392450004	-1.0	-1.0	54.96641925596121	5.656854249492381	-1.0	5.0	-1.0	25.238858928247925	-1.0	0.5248990675757279	-1.0	21.02379604162864	-1.0	-1.0	19.209372712298546	-1.0	32.55764119219941	23.600847442411894	-1.0	-1.0	56.1584886346113	7.211102550927978	-1.0	3.605551275463989	-1.0	25.0	-1.0	20.248456731316587	-1.0	22.627416997969522	18.867962264113206	14.317821063276353	18.027756377319946	0.22222222222222224	0.2857142857142857	0.2065480961930069	0.147689134796412	0.8338540040078958	1.5803673546393435	1.0466062370273814	1.548157698977974	12.858090172998189	81.86989764584402	78.69006752597979	8.28848696665191	8.15767491194719	-1.0	-1.0	5.194428907734803	5.063616853030084	-1.0	-1.0	5.194428907734803	5.063616853030084	-1.0	0.0	2.489552921999149	-1.0	-1.0	9.219544457292887	8.246211251235321	-1.0	16.1245154965971	14.866068747318506	-1.0	7.0710678118654755	7.280109889280518	-1.0	2.2803508501982757	2.042011586831651	-1.0	99.46063262118484	98.25979364223566	-1.0	2.0	1.4142135623730951	-1.0	92.05555555555556	77.09868421052632	85.2078313253012	1.379601689800845	1.2062462667463094	1.490473328855739	0.8444444444444444	0.7072420036210018	
1	8	large	B	1.0	-1.0	32.526911934581186	40.22437072223753	-1.0	0.6658978523066597	0.8234818641313403	7.0710678118654755	10.04987562112089	-1.0	3.1622776601683795	0.1643989873053573	0.21719626528856628	-1.0	0.06834262666401372	17.120943432986365	14.035668847618199	24.020824298928627	13.152946437965905	20.09975124224178	36.22154055254967	43.18564576337837	0.7828139996557183	0.9333211004291639	36.05551275463989	45.60701700396552	-1.0	35.35533905932738	47.01063709417264	5.0990195135927845	11.045361017187261	-1.0	11.045361017187261	16.144380530780047	16.278820596099706	32.01562118716424	12.165525060596439	12.165525060596439	35.22782990761707	35.22782990761707	38.62641583165593	53.36665625650534	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	63.665359562812746	57.1313210666325	3.776421534444893	4.492581479915302	67.10944834375167	74.23446469265349	-1.0	54.385092658329306	5.440332031005482	12.565348379907306	-1.0	7.28402365441687	6.203447901691845	0.9215684472099781	18.927803587114198	2.6897703231504693	16.75026450502571	-1.0	2.2605019111412616	-1.0	-1.0	16.76305461424021	-1.0	-1.0	31.78049716414141	-1.0	-1.0	4.123105625617661	-1.0	-1.0	7.707902743670444	88.69734807622996	86.96574163120306	88.14531436972172	2.8284271247461903	1.0	8.0	90.58992805755396	104.41269841269842	98.5548780487805	1.2363405336721727	1.273791425965339	1.3495019488956257	1.3597122302158273	1.5671855146124523	
1	9	large	B	1.0	-1.0	42.5440947723653	44.77722635447622	-1.0	0.805158867734973	0.8474215061992788	9.433981132056603	6.708203932499369	7.211102550927978	-1.0	0.18326184998623513	0.1325566340327166	0.14008083919449496	-1.0	16.142185064555974	16.1245154965971	18.35755975068582	21.93171219946131	32.2490309931942	47.20169488482379	57.8013840664737	0.9327232531286983	1.142177100067578	42.05948168962618	44.294469180700204	-1.0	42.5440947723653	42.5440947723653	9.433981132056603	5.385164807134504	9.433981132056603	-1.0	14.819145939191106	16.1245154965971	16.1245154965971	22.02271554554524	34.48187929913333	47.43416490252569	60.03332407921454	42.05948168962618	42.05948168962618	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.2689922936964635	0.2689922936964635	12.573162861516394	8.893232975854815	21.345786649089774	16.48127221132924	-1.0	35.18648214074537	22.449124518333036	17.584610080572503	-1.0	36.28982000998863	21.474348391848935	16.6098339540884	35.31504388350453	1.4261563355944915	1.4261563355944915	-1.0	30.579226872489016	-1.0	-1.0	19.026297590440446	-1.0	-1.0	30.14962686336267	-1.0	-1.0	8.06225774829855	-1.0	-1.0	3.7396009659608582	75.3707568516421	77.69983313481694	72.78049716414141	0.0	1.4142135623730951	2.23606797749979	143.62995594713655	100.92156862745098	135.79496402877697	1.2532204637467796	0.8521468816786477	1.325527800588064	0.22466960352422907	0.1578640657588026	
