image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	1	small	api	0.08584240871236387	0.20149253731343283	0.05922489297061039	-1.0	114.55444116840313	44.17447096898813	3.0	1.0671641791044777	
1	2	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	3	large	iso	0.38654012079378774	0.90625	-1.0	0.2569117887364029	106.46767989216431	35.06659275674582	3.0	0.2265625	
1	4	large	iso	0.3631111111111111	0.8665850673194615	-1.0	0.1527956814721473	90.43443342097916	32.757652885471444	5.0	0.1591187270501836	
1	5	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	6	large	iso	0.4049051365108746	0.848	-1.0	0.19591708206613154	160.91409114222157	64.5948497675652	4.0	0.19657142857142856	
1	7	medium	iso	0.291602266872746	0.7014134275618374	-1.0	0.10770973579218411	160.72971996207497	60.8779389605651	4.0	0.2579505300353357	
1	8	large	F	0.09179134654266073	0.3876651982378855	0.00268871910954144	-1.0	124.5452890820589	47.72332177840243	2.0	0.3568281938325991	
1	9	large	iso	0.32429862101759394	0.9032258064516129	-1.0	0.17066784451216901	69.2369231562343	24.186773244895647	4.0	0.1598240469208211	
2	10	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	11	small	api	0.13641826923076922	0.41409691629955947	0.028530558927920852	-1.0	52.906216194411755	14.88131748777213	2.0	0.40969162995594716	
2	12	large	E	0.0757635858786196	0.39790575916230364	0.03736509561450956	-1.0	160.3630696015789	61.9741105706303	1.0	0.5287958115183246	
2	13	large	iso	0.3305346884666372	0.9077540106951871	-1.0	0.20599213625848	81.86850390568807	30.1725046566048	3.0	0.13770053475935828	
2	14	no	B	0.0958904109589041	-1.0	-1.0	-1.0	21.540659228538015	10.770329614269007	1.0	0.20300751879699247	
2	15	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	16	medium	iso	0.2784332232184993	0.8406779661016949	-1.0	0.19205937030267836	61.847980334011424	22.360679774997898	3.0	0.10677966101694915	
2	17	large	E	0.07853403141361257	0.6307692307692307	-1.0	0.2970077898731928	175.3954821341748	74.35815978135702	4.0	0.4666666666666667	
2	18	medium	iso	0.23076923076923078	0.9103448275862069	-1.0	0.23301644586616715	35.516366365449876	16.0312195418814	3.0	0.12183908045977011	
3	19	no	B	0.1383238405207486	-1.0	-1.0	-1.0	64.33878774143281	27.65863337187866	2.0	0.20588235294117646	
3	20	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	21	medium	iso	0.21484992101105846	0.7990196078431373	-1.0	0.11381797208370145	69.82102534588482	24.08907027200636	2.0	0.29411764705882354	
3	22	no	B	0.06246016571064372	-1.0	-1.0	-1.0	22.65247584249853	11.180339887498949	1.0	0.40816326530612246	
3	23	small	api	0.14578587699316628	0.59765625	-1.0	0.03503622363733558	52.927017027212926	16.37443094145765	3.0	0.3359375	
3	24	large	iso	0.3629032258064516	0.9333333333333333	-1.0	0.1927349737779721	85.45460290306079	35.906112267087636	3.0	0.08777777777777777	
3	25	small	api	0.12034574468085106	0.3370165745856354	0.0744967494459948	-1.0	25.01532723747468	8.06701987234509	1.0	0.287292817679558	
3	26	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	27	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	28	no	B	0.10337401292175162	-1.0	-1.0	-1.0	30.46839401436113	14.866068747318506	1.0	0.2152777777777778	
4	29	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	30	small	api	0.14759535655058043	0.7790262172284644	-1.0	0.10903471977748236	139.77104953593286	55.38558618695323	1.0	0.5205992509363296	
4	31	medium	iso	0.24127906976744187	0.6481927710843374	-1.0	0.09165603198740051	152.66861388304378	56.57292619980761	1.0	0.42891566265060244	
4	32	small	api	0.16816976127320954	0.7728706624605678	-1.0	0.11290049543430446	98.22404359977307	38.0897619435004	7.0	0.38801261829652994	
4	33	large	iso	0.34827264239028943	0.8176943699731903	-1.0	0.20225135013537177	52.430425580194196	21.213203435596427	1.0	0.08176943699731903	
4	34	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	35	small	api	0.11756664388243336	0.32558139534883723	0.017916516959538647	-1.0	74.43307208278827	23.126775890912732	6.0	0.5813953488372093	
4	36	medium	iso	0.26942740286298567	0.8197343453510436	-1.0	0.1685755958545646	120.77812114406115	52.49566004594415	2.0	0.24857685009487665	
4	37	small	E	0.10191518467852258	0.2348993288590604	0.03447478497708266	-1.0	32.28262165523318	15.652475842498529	2.0	0.3422818791946309	
4	38	small	api	0.16053108026554014	0.6691729323308271	-1.0	0.11010396381419066	57.24130277637181	22.432233403959607	4.0	0.3383458646616541	
4	39	large	iso	0.3678915135608049	0.8929845422116528	-1.0	0.17461199143232373	96.07251104588087	33.85682647704098	10.0	0.20332936979785968	
5	40	small	api	0.11208642808912897	0.3674698795180723	0.04510314359556348	-1.0	38.265664375332506	13.641201570751955	1.0	0.4578313253012048	
5	41	small	api	0.1655450874831763	0.21138211382113822	0.03707594697502779	-1.0	19.97901860669446	9.516177866780307	1.0	0.15447154471544716	
5	42	no	B	0.15355086372360843	-1.0	-1.0	-1.0	97.42215819884497	39.45883931389772	4.0	0.24166666666666667	
5	43	large	iso	0.3628612032212222	0.8759791122715405	-1.0	0.19018955878459445	141.47981214057404	62.65002718723974	3.0	0.12140992167101827	
5	44	small	api	0.16666666666666666	0.25	0.03621788492543642	-1.0	34.69185484760412	11.403124237432849	2.0	0.3080357142857143	
5	45	large	iso	0.35795996186844614	0.8455392809587217	-1.0	0.16682655042761865	85.02423136100002	31.076809620810597	2.0	0.13581890812250333	
5	46	small	api	0.1761297798377752	0.5789473684210527	-1.0	0.13753525961942858	42.93585604567116	16.92935410048336	1.0	0.24342105263157895	
5	47	large	iso	0.3400549954170486	0.8153638814016172	-1.0	0.17871418476631956	88.7071109751707	32.65685424949238	3.0	0.1792452830188679	
5	48	large	iso	0.3157627977698936	0.8057784911717496	-1.0	0.13940377381935407	103.97764397900667	40.1161791271568	4.0	0.18298555377207062	
5	49	small	api	0.11761158021712907	0.7076923076923077	-1.0	0.09620145264345559	34.001840246879055	13.848857801796104	4.0	0.39487179487179486	
5	50	no	B	0.03353867214236824	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.3877551020408163	
5	51	medium	F	0.26102088167053367	0.7177777777777777	-1.0	0.04988758409352455	68.99877079001146	30.29763004513446	1.0	0.13111111111111112	
5	52	no	A	0.5453296703296703	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	
5	53	large	E	0.1511056511056511	0.3333333333333333	0.15808414060740839	-1.0	100.81304979363902	37.013511046643494	3.0	0.17615176151761516	
5	54	no	B	0.14822546972860126	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.12206572769953052	
6	55	large	iso	0.3349187475227903	0.855621301775148	-1.0	0.1788471745984444	121.02543237339955	43.475192208218495	4.0	0.20118343195266272	
6	56	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
6	57	no	B	0.10998439937597504	-1.0	-1.0	-1.0	89.22648568291366	36.40054944640259	3.0	0.44680851063829785	
6	58	medium	iso	0.2506527415143603	0.8166666666666667	-1.0	0.12085047430744537	54.282860791095345	18.384776310850235	1.0	0.24583333333333332	
6	59	large	E	0.1369754552652415	0.4595375722543353	-1.0	0.09954066107707792	192.8674854319406	72.05124837953326	3.0	0.4393063583815029	
6	60	small	api	0.1548488008342023	0.5353535353535354	-1.0	0.001349534559898668	107.35653824065349	38.504421452679225	3.0	0.5151515151515151	
6	61	medium	iso	0.21162672106068334	0.7542168674698795	-1.0	0.11517567966065359	82.83553371866407	29.00674265745756	3.0	0.2987951807228916	
6	62	small	E	0.1980392156862745	0.0	0.24560779802158586	-1.0	36.17447593070954	17.88854381999832	4.0	0.24422442244224424	
6	63	no	B	0.10226385636221702	-1.0	-1.0	-1.0	34.17896878265816	16.64331697709324	1.0	0.32061068702290074	
6	64	no	B	0.1630901287553648	-1.0	-1.0	-1.0	80.32203828617575	34.36568055487916	3.0	0.4517543859649123	
6	65	no	B	0.14993726474278546	-1.0	-1.0	-1.0	53.07126896212266	25.317977802344327	3.0	0.26778242677824265	
6	66	small	api	0.24331020812685827	0.6334012219959266	-1.0	0.07494855722226558	76.43221367181046	27.217873293248694	3.0	0.35845213849287166	
7	67	no	A	0.7759398496240602	-1.0	-1.0	-1.0	102.40578407290279	34.9857113690718	5.0	0.08817829457364341	
7	68	small	api	0.1935096153846154	0.562111801242236	-1.0	0.02855942596910407	60.50993755379043	20.924244368012513	2.0	0.33540372670807456	
7	69	small	api	0.27028676021964615	0.654627539503386	-1.0	0.0806426239214375	129.59085603012653	52.52776741236195	7.0	0.23702031602708803	
7	70	medium	iso	0.24536082474226803	0.7773109243697479	-1.0	0.1476682633799644	68.5259222680843	25.396078054371138	2.0	0.2710084033613445	
7	71	no	B	0.1633624107850912	-1.0	-1.0	-1.0	89.9101373810386	36.345563690772494	3.0	0.38349514563106796	
7	72	no	B	0.11195158850226929	-1.0	-1.0	-1.0	79.50189378362418	32.0624390837628	2.0	0.4864864864864865	
7	73	medium	iso	0.18486012068019747	0.8545994065281899	-1.0	0.10871566957504865	56.148642889599174	20.620499351813308	2.0	0.37388724035608306	
7	74	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
7	75	large	E	0.10496338486574451	0.2054263565891473	0.09039502359998178	-1.0	180.62406179418457	71.2743608637096	2.0	0.4496124031007752	
7	76	no	B	0.13485804416403785	-1.0	-1.0	-1.0	88.48183835296349	36.49657518178932	3.0	0.5614035087719298	
7	77	small	api	0.19856887298747763	0.7537537537537538	-1.0	0.100745781289288	61.075789068839626	22.203813762287034	5.0	0.3963963963963964	
7	78	no	B	0.11102719033232629	-1.0	-1.0	-1.0	84.12652370566927	36.069377593742864	3.0	0.47619047619047616	
7	79	no	B	0.1865482233502538	-1.0	-1.0	-1.0	110.64521694314739	40.311288741492746	2.0	0.2891156462585034	
7	80	large	iso	0.3882636655948553	0.8716356107660456	-1.0	0.1730828254773283	160.8089759336315	61.08450489466151	4.0	0.15527950310559005	
7	81	no	B	0.11004784688995216	-1.0	-1.0	-1.0	86.69484000734194	35.35533905932738	3.0	0.47101449275362317	
8	82	large	iso	0.39050936003482806	0.8383500557413601	-1.0	0.14400113588246674	151.10560631891937	62.52661568464194	5.0	0.11817168338907469	
8	83	small	api	0.10939794419970632	0.14093959731543623	0.08027673785240606	-1.0	82.26111022024294	36.40054944640259	2.0	0.2751677852348993	
8	84	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
8	85	large	api	0.3586530931871574	0.925764192139738	-1.0	0.24949126529339258	92.20921616669584	34.77131573206678	4.0	0.11026200873362445	
8	86	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
8	87	small	api	0.2263575350823673	0.6172506738544474	-1.0	0.05197797217889207	119.13308944876258	56.06857591636016	1.0	0.1752021563342318	
8	88	large	api	0.36574420344053854	0.9202453987730062	-1.0	0.2031502445739349	97.95025276943882	34.47507360278124	3.0	0.15030674846625766	
8	89	large	F	0.16261151662611517	0.48877805486284287	0.036611535908348	-1.0	119.96753391236318	40.51221922747445	4.0	0.24189526184538654	
8	90	small	api	0.25320348539210663	0.520242914979757	-1.0	0.04113984466841362	71.4927222164422	24.7003086000959	3.0	0.24696356275303644	
8	91	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
8	92	no	B	0.13109756097560976	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.09302325581395349	
8	93	no	B	0.04134762633996937	-1.0	-1.0	-1.0	76.38210946093676	35.17101079013795	2.0	0.5925925925925926	
9	94	no	B	0.07192254495159059	-1.0	-1.0	-1.0	83.9733570379939	37.05401462729781	3.0	0.6442307692307693	
9	95	medium	iso	0.24724986904138294	0.7161016949152542	-1.0	0.1043215657285482	70.12204777981023	28.636032296240487	6.0	0.2521186440677966	
9	96	small	api	0.13571869216533003	0.44545454545454544	-1.0	0.030845381784291397	113.86741891627119	44.95208251105285	5.0	0.5136363636363637	
9	97	no	B	0.06488824801730353	-1.0	-1.0	-1.0	98.09939054738967	37.94733192202055	3.0	0.9111111111111111	
9	98	small	api	0.2	0.675	-1.0	0.0798650636556751	50.1910071661019	18.70820393249937	5.0	0.35	
9	99	large	F	0.40265297389816	0.8172157279489904	-1.0	0.13566913690292984	72.03538749937056	33.44292530665578	2.0	0.07226354941551541	
9	100	large	api	0.34080512351326625	0.8657718120805369	-1.0	0.2356489154545635	164.35028477004732	68.47154442215019	1.0	0.1865771812080537	
9	101	large	iso	0.3889585947302384	0.9032258064516129	-1.0	0.19736088917081604	169.84446056458307	69.68981826906372	3.0	0.14086021505376345	
9	102	medium	F	0.27604473219540904	0.6652452025586354	-1.0	0.03942462128413023	97.74314169917247	40.03569229448432	1.0	0.2878464818763326	
9	103	small	api	0.07492063492063492	0.06779661016949153	0.07558240923752982	-1.0	20.09975124224178	10.04987562112089	1.0	0.3728813559322034	
9	104	medium	iso	0.2561117578579744	0.65	-1.0	0.09486548251936973	59.26021366767878	23.08276253029822	2.0	0.20227272727272727	
9	105	no	B	0.09836065573770492	-1.0	-1.0	-1.0	81.87282608824475	36.87817782917155	1.0	0.6111111111111112	
9	106	no	B	0.14586994727592267	-1.0	-1.0	-1.0	36.950041765298124	17.08800749063506	2.0	0.30120481927710846	
9	107	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
9	108	small	api	0.1903820816864295	0.5743944636678201	-1.0	0.06841198796418485	99.04690273115915	42.07653749152998	3.0	0.3494809688581315	
9	109	no	B	0.12414965986394558	-1.0	-1.0	-1.0	11.661903789690601	5.830951894845301	1.0	0.15753424657534246	
9	110	large	iso	0.33291976840363935	0.8099378881987578	-1.0	0.17210381624176627	132.73885584281885	53.322782238175144	2.0	0.17888198757763976	
9	111	no	B	0.16284779050736498	-1.0	-1.0	-1.0	8.94427190999916	4.47213595499958	1.0	0.1306532663316583	
10	112	large	E	0.1282051282051282	0.46582278481012657	0.014068471649036862	-1.0	120.34388379085077	50.03399692864713	3.0	0.25316455696202533	
10	113	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
10	114	large	iso	0.3981776765375854	0.9164759725400458	-1.0	0.21352833651082	96.95498960317465	32.757652885471444	4.0	0.21624713958810068	
10	115	large	E	0.0677648820666417	0.3259668508287293	0.025873194705198395	-1.0	105.3809427453806	49.30375285612676	3.0	0.36464088397790057	
10	116	medium	F	0.3526077097505669	0.7620578778135049	-1.0	0.10879736548020275	70.38090789708981	30.30589287593181	1.0	0.05037513397642015	
10	117	no	B	0.23663101604278075	-1.0	-1.0	-1.0	19.802915322259064	9.848857801796104	2.0	0.11299435028248588	
10	118	small	api	0.21337209302325583	0.553133514986376	-1.0	0.04271569041493035	129.05998017545062	56.06168279071399	4.0	0.29427792915531337	
10	119	large	F	0.08952702702702703	0.49056603773584906	0.01820258030810737	-1.0	155.72850343488824	53.815469354346625	7.0	0.7405660377358491	
10	120	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
10	121	no	B	0.07957153787299158	-1.0	-1.0	-1.0	67.67569726275453	33.83784863137726	1.0	0.28846153846153844	
10	122	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
10	123	no	A	0.35957792207792205	-1.0	-1.0	-1.0	83.99863829745128	33.83784863137726	2.0	0.14672686230248308	
10	124	no	B	0.14464944649446496	-1.0	-1.0	-1.0	93.90775944547173	36.87817782917155	1.0	0.2755102040816326	
10	125	small	api	0.13522215067611076	0.09523809523809523	0.09316987111205634	-1.0	18.110770276274835	9.055385138137417	1.0	0.17142857142857143	
10	126	no	A	0.312156862745098	-1.0	-1.0	-1.0	96.30943829738727	34.88552708502482	1.0	0.13316582914572864	
11	127	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
11	128	small	api	0.10957324106113034	0.4368421052631579	0.010789988058240916	-1.0	98.88582050161142	45.398603605339076	6.0	0.631578947368421	
11	129	medium	iso	0.22505800464037123	0.8067010309278351	-1.0	0.11397517782906065	134.56435440444497	55.44707968146378	6.0	0.3556701030927835	
