image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	large	A1	1.0	-1.0	27.459060435491963	27.459060435491963	-1.0	0.6064691896945635	0.6064691896945635	11.661903789690601	-1.0	11.661903789690601	-1.0	0.27845476859409973	-1.0	0.27845476859409973	-1.0	-1.0	8.06225774829855	8.06225774829855	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30.23243291566195	30.23243291566195	-1.0	26.68332812825267	26.68332812825267	12.083045973594572	-1.0	12.083045973594572	-1.0	-1.0	8.54400374531753	8.54400374531753	-1.0	-1.0	-1.0	-1.0	30.0	30.0	5.830951894845301	-1.0	23.021728866442675	-1.0	0.40877269439290326	0.44239174468345926	-1.0	-1.0	-1.0	0.25328036520075226	-1.0	65.2248594311681	74.41369550852684	-1.0	-1.0	-1.0	-1.0	26.395034526197694	-1.0	-1.0	-1.0	75.61412987544615	-1.0	-1.0	-1.0	-1.0	11.915147071265029	18.434948822922014	27.137989874761473	-1.0	8.94427190999916	-1.0	8.94427190999916	16.64331697709324	-1.0	16.64331697709324	7.211102550927978	-1.0	7.211102550927978	2.3080127982580767	-1.0	2.3080127982580767	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	164.66666666666666	-1.0	164.66666666666666	1.3663967611336034	-1.0	1.3663967611336034	-1.0	-1.0	
1	1	no	A	1.0	24.839484696748443	-1.0	24.839484696748443	0.5519885488166321	-1.0	0.5519885488166321	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.324555320336759	6.324555320336759	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	24.20743687382041	-1.0	24.20743687382041	-1.0	-1.0	-1.0	-1.0	-1.0	6.708203932499369	6.708203932499369	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.33333333333333337	0.3570416691943344	-1.0	-1.0	-1.0	-1.0	-1.0	70.5599651718238	78.69006752597979	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.708203932499369	-1.0	6.708203932499369	12.806248474865697	-1.0	12.806248474865697	5.656854249492381	-1.0	5.656854249492381	2.263846284534354	-1.0	2.263846284534354	-1.0	-1.0	-1.0	1.0	-1.0	1.0	84.28448275862068	-1.0	84.28448275862068	1.328832975350312	-1.0	1.328832975350312	-1.0	-1.0	
1	2	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	3	large	B	1.0	-1.0	29.410882339705484	30.0	-1.0	0.6928363425501498	0.7067142711473182	10.816653826391969	1.0	10.295630140987	-1.0	0.2531987145328663	0.03239317741958685	0.24100247256163562	-1.0	11.816653826391969	9.486832980505138	9.848857801796104	15.231546211727817	25.942243542145693	30.463092423455635	41.14608122288197	0.9867963576222702	1.3328523091735465	31.906112267087632	32.449961479175904	-1.0	26.40075756488817	26.40075756488817	13.892443989449804	1.0	13.892443989449804	-1.0	14.892443989449804	6.324555320336759	6.324555320336759	16.1245154965971	29.5296461204668	31.304951684997057	44.721359549995796	28.844410203711913	28.844410203711913	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	24.590117166196023	24.590117166196023	0.0	6.546290783294026	5.215863915905402	16.52579638992563	-1.0	7.103581340731182	11.309932474020215	0.0	-1.0	23.629377730656813	12.97021484300302	1.6602823689828057	25.28966009963962	7.125016348901795	3.691385986451273	-1.0	90.0	-1.0	-1.0	13.038404810405298	-1.0	-1.0	23.430749027719962	-1.0	-1.0	7.810249675906654	-1.0	-1.0	3.0	58.43819034784589	-1.0	48.141983491764194	3.1622776601683795	2.0	3.605551275463989	58.14736842105263	39.6	57.827586206896555	1.702570601013758	0.5555555555555556	1.7119856887298748	0.017543859649122806	0.011947863866763215	
1	4	small	A1	1.0	-1.0	24.839484696748443	24.839484696748443	-1.0	0.5701570227213576	0.5701570227213576	16.64331697709324	-1.0	16.64331697709324	-1.0	0.3869492598904018	-1.0	0.3869492598904018	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	26.40075756488817	26.40075756488817	-1.0	24.839484696748443	24.839484696748443	16.64331697709324	-1.0	16.64331697709324	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	26.40075756488817	26.40075756488817	11.661903789690601	-1.0	18.601075237738275	-1.0	0.2	0.2	-1.0	-1.0	-1.0	0.6269478318130057	-1.0	57.724355685422374	57.724355685422374	-1.0	-1.0	-1.0	-1.0	69.44395478041655	-1.0	-1.0	-1.0	58.431028870681665	-1.0	-1.0	-1.0	-1.0	10.143677331230947	10.143677331230947	35.28426023474711	-1.0	8.246211251235321	-1.0	8.246211251235321	15.297058540778355	-1.0	15.297058540778355	7.0710678118654755	-1.0	7.0710678118654755	2.1633307652783937	-1.0	2.1633307652783937	-1.0	-1.0	-1.0	0.0	-1.0	0.0	70.8375	-1.0	70.8375	1.270513499205929	-1.0	1.270513499205929	-1.0	-1.0	
1	5	medium	A1	1.0	-1.0	29.966648127543394	29.966648127543394	-1.0	0.637443990974077	0.637443990974077	13.601470508735444	-1.0	13.601470508735444	-1.0	0.30040622902833486	-1.0	0.30040622902833486	-1.0	-1.0	7.280109889280518	7.280109889280518	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	31.76476034853718	31.76476034853718	-1.0	28.635642126552707	28.635642126552707	15.0	-1.0	15.0	-1.0	-1.0	6.082762530298219	6.082762530298219	-1.0	-1.0	-1.0	-1.0	30.4138126514911	30.4138126514911	7.211102550927978	-1.0	25.059928172283335	-1.0	-1.0	0.27395384636677045	-1.0	-1.0	-1.0	0.2877543184223316	-1.0	12.865397842050214	19.348471534947464	-1.0	-1.0	-1.0	-1.0	48.945186229037574	-1.0	-1.0	-1.0	48.70842815713044	-1.0	-1.0	-1.0	-1.0	6.9727692860264625	7.815293546766881	38.32553095288243	-1.0	8.06225774829855	-1.0	8.06225774829855	14.866068747318506	-1.0	14.866068747318506	7.280109889280518	-1.0	7.280109889280518	2.042011586831651	-1.0	2.042011586831651	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	110.28823529411764	-1.0	110.28823529411764	1.3147367859619181	-1.0	1.3147367859619181	-1.0	-1.0	
1	6	medium	A1	1.0	-1.0	30.59411708155671	30.59411708155671	-1.0	0.6435520896053389	0.6435520896053389	12.206555615733702	-1.0	12.206555615733702	-1.0	0.2757179866516969	-1.0	0.2757179866516969	-1.0	-1.0	8.54400374531753	8.54400374531753	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	32.7566787083184	32.7566787083184	-1.0	29.614185789921695	29.614185789921695	13.038404810405298	-1.0	13.038404810405298	-1.0	-1.0	7.615773105863909	7.615773105863909	-1.0	-1.0	-1.0	-1.0	31.78049716414141	31.78049716414141	5.830951894845301	-1.0	26.68332812825267	-1.0	0.42195826865675334	0.3694192580731196	-1.0	-1.0	-1.0	0.21852416110985085	-1.0	42.805068876795815	45.44761417086056	-1.0	-1.0	-1.0	-1.0	48.81407483429035	-1.0	-1.0	-1.0	2.489552921999149	-1.0	-1.0	-1.0	-1.0	5.937416099481524	3.4165881917713463	29.98163936884934	-1.0	8.602325267042627	-1.0	8.602325267042627	15.652475842498529	-1.0	15.652475842498529	6.708203932499369	-1.0	6.708203932499369	2.3333333333333335	-1.0	2.3333333333333335	-1.0	-1.0	-1.0	1.0	-1.0	1.0	142.92948717948718	-1.0	142.92948717948718	1.3433197291115397	-1.0	1.3433197291115397	-1.0	-1.0	
1	7	medium	D	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	8	large	E	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	9	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	10	large	E	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
