image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
2	0	medium	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	1	large	iso	0.27475592747559274	0.9306260575296108	-1.0	0.22223542037334615	108.05527075723379	43.20140545952334	3.0	0.17597292724196278	
2	2	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	3	no	B	0.06540583136327817	-1.0	-1.0	-1.0	18.867962264113206	9.433981132056603	1.0	0.30120481927710846	
2	4	no	B	0.05575221238938053	-1.0	-1.0	-1.0	20.534059941848177	10.04987562112089	1.0	0.7777777777777778	
2	5	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	6	small	api	0.08733624454148471	0.4888888888888889	0.006786591637566459	-1.0	29.34261754766733	12.071067811865476	3.0	0.37222222222222223	
2	7	medium	iso	0.21859785783836416	0.8797327394209354	-1.0	0.22607845236144186	53.92825514508878	19.1049731745428	2.0	0.21603563474387527	
2	8	no	B	0.09992962702322308	-1.0	-1.0	-1.0	53.93616184864915	25.0	1.0	0.3380281690140845	
2	9	no	B	0.040998217468805706	-1.0	-1.0	-1.0	71.36464590280698	34.0	1.0	0.7391304347826086	
2	10	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	11	no	B	0.2433947157726181	-1.0	-1.0	-1.0	48.56403191115977	22.02271554554524	3.0	0.2993421052631579	
2	12	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	13	small	api	0.1966019417475728	0.8209876543209876	-1.0	0.11046114027320905	83.71213686345911	35.165931665359594	4.0	0.2839506172839506	
2	14	small	api	0.16728797763280523	0.6852367688022284	-1.0	0.1142632996115881	66.36350870703586	20.253156996701257	4.0	0.36768802228412256	
3	15	medium	iso	0.2801724137931034	0.8685314685314686	-1.0	0.19642616800860624	76.54819410476006	28.071337695236398	4.0	0.16363636363636364	
3	16	no	B	0.08825526137135098	-1.0	-1.0	-1.0	66.62415186765693	30.479501308256342	1.0	0.4846153846153846	
