image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	medium	A1	1.0	-1.0	29.410882339705484	29.410882339705484	-1.0	0.6281853136783506	0.6281853136783506	16.0312195418814	-1.0	16.0312195418814	-1.0	0.35695511745184716	-1.0	0.35695511745184716	-1.0	-1.0	6.082762530298219	6.082762530298219	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	29.732137494637012	29.732137494637012	-1.0	29.120439557122072	29.120439557122072	16.0	-1.0	16.0	-1.0	-1.0	6.0	6.0	-1.0	-1.0	-1.0	-1.0	29.410882339705484	29.410882339705484	10.04987562112089	-1.0	23.40939982143925	-1.0	-1.0	0.2727272727272727	-1.0	-1.0	-1.0	0.42930940980028104	-1.0	10.520784313874364	19.98310652189998	-1.0	-1.0	-1.0	-1.0	62.25172745967468	-1.0	-1.0	-1.0	82.23483398157467	-1.0	-1.0	-1.0	-1.0	3.5763343749973515	0.0	30.963756532073518	-1.0	12.649110640673518	-1.0	12.649110640673518	22.20360331117452	-1.0	22.20360331117452	6.082762530298219	-1.0	6.082762530298219	3.650249898886969	-1.0	3.650249898886969	-1.0	-1.0	-1.0	1.0	-1.0	1.0	112.2280701754386	-1.0	112.2280701754386	1.6127872440206346	-1.0	1.6127872440206346	-1.0	-1.0	
1	1	small	D	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	2	no	A	1.0	26.476404589747453	-1.0	26.476404589747453	0.5734101930825409	-1.0	0.5734101930825409	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.242640687119285	4.242640687119285	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	36.0	-1.0	26.476404589747453	-1.0	-1.0	-1.0	-1.0	-1.0	13.152946437965905	13.152946437965905	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.1934477640657483	0.5405827686208003	-1.0	-1.0	-1.0	-1.0	-1.0	40.03025927188969	13.715902990665514	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	19.235384061671343	-1.0	19.235384061671343	36.40054944640259	-1.0	36.40054944640259	8.54400374531753	-1.0	8.54400374531753	4.260362065776436	-1.0	4.260362065776436	-1.0	-1.0	-1.0	11.180339887498949	-1.0	11.180339887498949	60.70217391304348	-1.0	60.70217391304348	1.3014360921104464	-1.0	1.3014360921104464	-1.0	-1.0	
1	3	no	A	1.0	25.079872407968907	-1.0	25.079872407968907	0.5776564746045177	-1.0	0.5776564746045177	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.123105625617661	4.123105625617661	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	33.015148038438355	-1.0	25.079872407968907	-1.0	-1.0	-1.0	-1.0	-1.0	12.649110640673518	12.649110640673518	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.19999999999999998	0.6348406650689518	-1.0	-1.0	-1.0	-1.0	-1.0	22.166345822082455	26.56505117707799	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	12.206555615733702	-1.0	12.206555615733702	20.248456731316587	-1.0	20.248456731316587	10.770329614269007	-1.0	10.770329614269007	1.880022010142618	-1.0	1.880022010142618	-1.0	-1.0	-1.0	8.54400374531753	-1.0	8.54400374531753	53.66415094339623	-1.0	53.66415094339623	1.0621615920118135	-1.0	1.0621615920118135	-1.0	-1.0	
1	4	no	A	1.0	29.068883707497267	-1.0	29.068883707497267	0.6248844625186541	-1.0	0.6248844625186541	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.830951894845301	5.830951894845301	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	27.730849247724095	-1.0	27.730849247724095	-1.0	-1.0	-1.0	-1.0	-1.0	4.47213595499958	4.47213595499958	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.2594739537473219	0.19227214231343207	-1.0	-1.0	-1.0	-1.0	-1.0	5.500411470201897	1.1017061152063832	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.810249675906654	-1.0	7.810249675906654	13.45362404707371	-1.0	13.45362404707371	5.0	-1.0	5.0	2.690724809414742	-1.0	2.690724809414742	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	131.72268907563026	-1.0	131.72268907563026	1.3816905901116427	-1.0	1.3816905901116427	-1.0	-1.0	
1	5	small	A1	1.0	-1.0	27.85677655436824	27.85677655436824	-1.0	0.5501382608801567	0.5501382608801567	21.0	-1.0	21.0	-1.0	0.4370260533762031	-1.0	0.4370260533762031	-1.0	-1.0	6.082762530298219	6.082762530298219	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	27.85677655436824	27.85677655436824	-1.0	26.570660511172846	26.570660511172846	22.02271554554524	-1.0	22.02271554554524	-1.0	-1.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	26.570660511172846	26.570660511172846	13.0	-1.0	21.18962010041709	-1.0	0.31622776601683794	0.2631578947368421	-1.0	-1.0	-1.0	0.6135079316379113	-1.0	71.44740087115207	80.90972307917768	-1.0	-1.0	-1.0	-1.0	9.344671902099691	-1.0	-1.0	-1.0	3.1798301198642207	-1.0	-1.0	-1.0	-1.0	15.255118703057775	12.652556500557969	11.169501923082898	-1.0	8.54400374531753	-1.0	8.54400374531753	15.811388300841896	-1.0	15.811388300841896	6.324555320336759	-1.0	6.324555320336759	2.5	-1.0	2.5	-1.0	-1.0	-1.0	1.4142135623730951	-1.0	1.4142135623730951	134.5142857142857	-1.0	134.5142857142857	1.3009770603228548	-1.0	1.3009770603228548	-1.0	-1.0	
1	6	no	D	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	7	large	C	2.0	-1.0	25.019992006393608	-1.0	-1.0	0.52023474032505	-1.0	21.37755832643195	26.1725046566048	-1.0	-1.0	0.4452691793538258	0.6541082395191722	-1.0	-1.0	47.55006298303675	2.23606797749979	-1.0	6.708203932499369	-1.0	14.560219778561036	-1.0	0.36389179604036703	-1.0	27.459060435491963	-1.0	-1.0	23.0	-1.0	23.194827009486403	27.85677655436824	-1.0	-1.0	51.05160356385464	1.4142135623730951	-1.0	11.661903789690601	-1.0	17.804493814764857	-1.0	25.317977802344327	-1.0	15.297058540778355	16.1245154965971	19.4164878389476	8.246211251235321	0.11901388973144479	0.07142857142857144	0.3570416691943344	0.723240570679579	1.0540925533894596	0.7878385971583354	1.955384722187607	65.82089285331082	42.61405596961119	29.42745640318975	61.89864869403823	2.3574591398660516	11.706436729153324	-1.0	-1.0	3.975553672603496	13.324531261890797	-1.0	-1.0	0.21322094903334232	9.562198538320615	-1.0	5.589868959827792	2.236979063437701	-1.0	-1.0	8.94427190999916	12.206555615733702	-1.0	16.15549442140351	20.808652046684813	-1.0	5.385164807134504	7.211102550927978	-1.0	3.0	2.8856408433696457	-1.0	85.09576719016039	81.55744594319866	-1.0	2.23606797749979	7.0	-1.0	128.22535211267606	115.97285067873302	120.76584022038567	1.4037785588752196	0.8708934841982052	1.4904877047310554	1.556338028169014	1.4076230228471003	
1	8	medium	D	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	9	no	A	1.0	29.427877939124322	-1.0	29.427877939124322	0.6203941399536982	-1.0	0.6203941399536982	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.615773105863909	7.615773105863909	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.319604517012593	-1.0	29.427877939124322	-1.0	-1.0	-1.0	-1.0	-1.0	14.560219778561036	14.560219778561036	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.3472493636885755	0.7793906958217581	-1.0	-1.0	-1.0	-1.0	-1.0	43.18169703554817	85.96228937902286	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	16.492422502470642	-1.0	16.492422502470642	29.732137494637012	-1.0	29.732137494637012	10.44030650891055	-1.0	10.44030650891055	2.847822280817268	-1.0	2.847822280817268	-1.0	-1.0	-1.0	11.40175425099138	-1.0	11.40175425099138	88.11168831168831	-1.0	88.11168831168831	0.5107154437991923	-1.0	0.5107154437991923	-1.0	-1.0	
