image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	no	1372.0	135.88225087999987	44.294469180700204	37.589892258425	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1783611635857378	-1.0	-1.0	-1.0	95.0	4.0	-1.0	
1	1	no	1347.0	135.5391051199999	44.10215414239989	37.05401462729781	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1902125744266774	-1.0	-1.0	-1.0	106.0	4.0	-1.0	
1	2	medium	2083.0	206.06601700000007	48.02082881417188	36.359317925395686	6.41330414286611	9.9252688130031	30.083217912982647	27.00461622882946	15.231546211727817	7.559219800322806	49.83591836672994	21.02379604162864	43.85625743940847	1.114002793376732	1.3207296383475622	0.8434752738422092	0.6526771996114069	0.4669014084507042	136.0	3.0	46.52956049652737	
1	3	medium	2365.0	218.89444412000006	54.08326913195984	39.56008088970496	26.923892703426727	45.08104065248148	27.730849247724095	26.529064197775877	16.1245154965971	30.286630713897512	40.34369910541158	24.186773244895647	42.7713098566592	1.0453006951541461	1.367117253444099	0.7646020796832027	0.5140143682871442	0.3429869392390687	104.0	4.0	50.48762224545735	
1	4	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	5	no	1671.0	154.7106779999999	54.230987451824994	37.21558813185679	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.457211619488096	-1.0	-1.0	-1.0	112.0	3.0	-1.0	
1	6	large	2368.0	212.4091627600001	49.47726750741192	38.8329756778952	19.476575498931982	30.7354877019201	31.32091952673165	33.15013864871433	20.8806130178211	23.040884378451633	47.639923742775935	21.095023109728988	45.08314174302283	0.9448201667761765	1.2741044600292053	0.7415562824060118	0.6984269261655693	0.5456919060052219	136.0	4.0	46.2709412050371	
1	7	no	1222.0	127.63961019999985	41.10960958218893	36.124783736376884	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1379890847842622	-1.0	-1.0	-1.0	170.0	3.0	-1.0	
1	8	large	2264.0	219.9655119200001	51.22499389946279	35.608987629529715	13.934835114501368	23.267704810056955	34.0	28.540378062465685	15.264337522473747	18.584677664744124	51.84084476664972	21.400934559032695	47.04651162790699	1.191294660693876	1.4385411467576539	0.8281269280193688	0.7146063893996416	0.5517477724468814	137.0	3.0	48.27007354458868	
1	9	large	2273.0	217.7228712400001	44.10215414239989	37.44329045369811	12.050784883409563	12.986297381562139	35.11409973215888	31.859954070405326	14.866068747318506	12.085577459074111	53.57435139095464	20.248456731316587	53.781078038048	1.1021390569039244	1.1778386356545252	0.9357300936995206	0.8278226448438134	0.6950037285607755	109.0	4.0	43.46262762420146	
1	10	large	2614.0	230.0660170000001	51.894122981316485	37.57658845611187	32.75366714031959	48.07231080827155	35.84689665786984	34.06854920563353	19.313207915827967	38.501469631143834	41.621660301245726	21.213203435596427	51.75007190926585	1.0521990954619884	1.3810227355239284	0.7618984600299199	0.7538021627076669	0.6256218905472637	126.0	5.0	47.38143096192854	
1	11	no	1990.0	168.61017292	59.00847396772772	41.012193308819754	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.43880317551897	-1.0	-1.0	-1.0	109.0	5.0	-1.0	
1	12	medium	2020.0	198.99494920000006	55.00909015790027	36.0	5.079607860014562	8.824180267074382	23.345235059857504	22.099639879267553	14.142135623730951	6.63526698864296	47.0	24.186773244895647	43.253861912934006	1.0563626913105715	1.5280302821638962	0.6913231391033822	0.44534159421809916	0.2625	100.0	4.0	53.23532661682466	
2	13	small	1495.0	154.9533186799999	46.09772228646444	36.87817782917155	2.4002144608566383	14.036243467926468	11.180339887498949	14.63925573134496	13.038404810405298	3.579352554007827	32.214172986070444	21.400934559032695	14.758048651498623	0.7637232447248035	1.25	0.6109785957798428	0.24369727679340608	0.09283625730994152	98.0	3.0	45.803929962395145	
2	14	no	1647.0	151.53910512	51.478150704935004	38.948684188300895	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3216916508927306	-1.0	-1.0	-1.0	94.0	3.0	-1.0	
2	15	medium	2177.0	210.3086576800001	51.419840528729765	37.36308338453881	15.985286202794969	19.401874394566313	29.154759474226502	24.916078403373803	15.297058540778355	16.024942736638927	49.03235584561253	23.021728866442675	48.24000362803742	1.1701183068310923	1.3762204794374056	0.8502404406228811	0.5875462051329517	0.38750796685787126	120.0	3.0	49.49747468305833	
2	16	medium	1773.0	183.58073564	47.042533945356304	36.013886210738214	2.9507791090063504	10.367617818476619	22.561028345356956	24.36895668735504	14.317821063276353	5.144280711602451	43.67759676907572	21.095023109728988	28.58517727526902	0.9258101869032328	1.3062332032173105	0.7087633239018278	0.4952758341622309	0.30945347119645494	105.0	4.0	46.2709412050371	
