image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	medium	iso	0.2930631332813718	0.788563829787234	-1.0	0.2107874032044161	64.17511150533512	23.345235059857504	1.0	0.0678191489361702	
1	1	large	iso	0.3101107538406574	0.8421658986175116	-1.0	0.16418941992893948	83.08596634247411	29.832867780352597	2.0	0.04953917050691244	
1	2	medium	iso	0.2206896551724138	0.904296875	-1.0	0.24359775230767886	68.87268252846627	23.430749027719962	2.0	0.2265625	
1	3	small	api	0.07097149505526469	0.4672131147540984	-1.0	0.027941590894930833	37.37278702714416	10.567196007456044	2.0	0.5983606557377049	
1	4	large	iso	0.34072274521712725	0.9010695187165776	-1.0	0.2206143974551084	123.09483207623924	38.52610922848042	2.0	0.10606060606060606	
1	5	small	api	0.08929428708593375	0.956989247311828	-1.0	0.10965897973335015	47.52796436982633	17.591720422868207	5.0	0.34408602150537637	
1	6	large	iso	0.3275058275058275	0.7330960854092526	-1.0	0.18725336114035715	158.43308574233743	68.68044524255826	1.0	0.05812574139976275	
1	7	medium	iso	0.21358024691358024	0.8631984585741811	-1.0	0.1899296225156101	68.75887307303915	25.21812873534665	3.0	0.27167630057803466	
1	8	no	B	0.0854251012145749	-1.0	-1.0	-1.0	39.84510005677943	14.7648230602334	3.0	0.3933649289099526	
2	9	small	api	0.14131274131274132	0.953551912568306	-1.0	0.23494285634469977	78.92102715113072	27.323732060587673	4.0	0.3087431693989071	
2	10	no	B	0.18063186813186813	-1.0	-1.0	-1.0	73.19929004084922	33.015148038438355	3.0	0.2889733840304182	
2	11	large	E	0.07487271638215034	0.492	0.005873469875215988	-1.0	116.06251808139291	51.476164529659776	5.0	0.4	
2	12	medium	iso	0.20446735395189003	0.9411764705882353	-1.0	0.1683151766732186	82.47583510887435	27.015998543921505	7.0	0.26218487394957984	
2	13	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	14	large	iso	0.29109914475768134	0.9292709466811752	-1.0	0.21628012253027068	93.18768497456075	31.38470965295043	3.0	0.14036996735582155	
2	15	medium	iso	0.24971363115693013	0.8868501529051988	-1.0	0.2089878439104579	92.62558589368312	32.65137332142771	3.0	0.20030581039755352	
2	16	large	iso	0.22456006120887528	0.8807495741056218	-1.0	0.22904312929676518	82.99811823914533	31.19707836697943	3.0	0.17717206132879046	
3	17	large	iso	0.3351851851851852	0.9106813996316758	-1.0	0.22924837118009372	116.36796867624787	38.8309518948453	2.0	0.11049723756906077	
3	18	medium	iso	0.17219477769936486	0.9549180327868853	-1.0	0.16775612297791695	65.58472016131924	21.840329667841555	5.0	0.32172131147540983	
3	19	large	F	0.2949448878753326	0.9072164948453608	-1.0	0.12249616170010894	166.06947843913977	70.83753781857109	2.0	0.1327319587628866	
3	20	small	api	0.1558846453624318	0.86	-1.0	0.14325780524080547	87.7320483860008	29.684616090505173	5.0	0.38	
3	21	small	api	0.10467587672688629	0.5989847715736041	-1.0	0.06724062199434329	63.80987588541988	24.66552734378442	3.0	0.4720812182741117	
3	22	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	23	small	api	0.05589041095890411	0.28431372549019607	0.013770856676962312	-1.0	17.88854381999832	8.94427190999916	1.0	0.19607843137254902	
3	24	large	iso	0.34209740065730504	0.9231441048034934	-1.0	0.1858307876552725	106.98474603932587	32.69556544854363	1.0	0.15196506550218342	
4	25	no	B	0.0707133917396746	-1.0	-1.0	-1.0	81.03198484138973	34.058772731852805	4.0	0.6814159292035398	
