image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	large	2268.0	213.8233763200001	46.09772228646444	38.28837943815329	0.7117122060357133	3.0327026161769766	32.802438933713454	31.917027498271604	16.401219466856727	1.9523741203679055	52.65305112368148	20.615528128088304	36.902743800427615	1.0277410368333892	1.2039611747194856	0.8536330393485035	0.7248239933381146	0.5728155339805825	135.0	3.0	44.40720662234904	
1	1	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	2	large	2245.0	212.40916276000007	43.829214001622255	37.12142238654117	6.340191745909905	7.010012847886273	33.83784863137726	33.52893746547254	16.64331697709324	6.388433066347855	53.069087156375986	20.248456731316587	52.345843186660915	1.0092132703645271	1.1806986689581453	0.8547593868764688	0.8274463856766997	0.7137404580152672	153.0	4.0	43.04648650006177	
1	3	small	2053.0	196.066017	49.8196748283246	41.773197148410844	32.28886743447052	40.87325623194994	19.72308292331602	23.135218997109554	15.264337522473747	24.97005458760508	33.75370084771306	22.847319317591726	38.157877381967545	0.8525133445151379	1.192622979067808	0.7148221688479367	0.4182882132544043	0.21335697399527187	158.0	4.0	46.87216658103186	
1	4	small	1793.0	175.33809495999992	46.87216658103186	40.792156108742276	27.004090702759655	29.16615573133445	17.029386365926403	19.92509120589664	15.620499351813308	17.494390804026455	32.94751070321492	20.0	35.897421131258746	0.8546704348779453	1.14904851942814	0.7438070894545853	0.3704050144801483	0.18584656084656084	122.0	3.0	43.382023926967726	
1	5	large	2376.0	212.4091627600001	44.384682042344295	42.44997055358225	19.962474265134944	25.21033592604737	29.832867780352597	34.30390435956937	20.615528128088304	19.759069112251748	46.05421333643357	20.808652046684813	46.38905149533549	0.8696639154437958	1.0455762739886938	0.8317555945738683	0.6994207839745469	0.543859649122807	117.0	4.0	43.56604182158393	
1	6	large	2574.0	234.2081526000001	48.75448697299562	41.14608122288197	46.24536426676835	49.81841969347096	34.0147027033899	34.59225767304106	16.55294535724685	41.37055120931097	36.45547657077552	21.540659228538015	54.149688518340504	0.9833039238112155	1.184912038376148	0.8298539401783575	0.7322463915547349	0.5743119266055046	159.0	4.0	44.28317965096906	
1	7	medium	1899.0	192.16652208000002	43.60045871318328	37.8021163428716	11.680260148566326	14.40193114488703	27.018512172212592	27.629178805805886	15.811388300841896	11.307220486901294	45.314923229768404	19.849433241279208	45.461182596931074	0.9778977638863096	1.1533867130009265	0.8478489936319598	0.6419027581332551	0.4507257448433919	164.0	3.0	42.01190307520001	
1	8	no	1544.0	146.12489155999992	46.010868281309364	40.36087214122113	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.139986968574889	-1.0	-1.0	-1.0	124.0	4.0	-1.0	
1	9	medium	1775.0	184.16652208	43.41658669218482	37.8021163428716	6.939811711948664	9.642915473732899	22.825424421026653	23.66584248985364	16.1245154965971	6.172756092045375	42.53730096524669	19.72308292331602	36.850685209850276	0.9644881406952952	1.148522646149994	0.839764147383939	0.5351094648524588	0.33559066967644846	162.0	4.0	43.04648650006177	
1	10	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	11	medium	2372.0	215.03657972000013	52.80151512977634	44.28317965096906	52.572169148549634	55.914113005810776	24.331050121192877	23.99520603211557	16.278820596099706	38.067089458698156	27.414472257152692	22.561028345356956	45.96373190187752	1.0139962994536413	1.192360520313741	0.8504108297604759	0.4691928095483639	0.2583554376657825	139.0	3.0	48.30113870293329	
1	12	large	2321.0	219.82337632000008	43.18564576337837	38.2099463490856	7.899691614265237	12.277878892236856	34.40930106817051	36.42638022566735	15.811388300841896	10.072791371082891	53.441582496460825	19.849433241279208	47.367234065361274	0.9446258688071472	1.1302200052529474	0.8357893723494448	0.8473433780748272	0.7490580256217031	115.0	4.0	42.638011210655684	
1	13	medium	2155.0	206.75230852000007	45.803929962395145	39.20459156782532	10.619655276155129	15.833616618694151	29.206163733020468	29.179543418246226	15.620499351813308	11.942206715648307	49.662550281428686	21.213203435596427	43.76923715606084	1.0009122937392363	1.1683307523597775	0.8567028572325158	0.6458394714801639	0.476027397260274	145.0	3.0	45.34313619501854	
3	14	no	1111.0	122.81118307999988	39.0	34.92849839314596	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1165667519120432	-1.0	-1.0	-1.0	111.0	3.0	-1.0	
3	15	medium	2738.0	232.7939390400001	54.08326913195984	46.04345773288535	54.13548725284661	57.152456734760634	27.202941017470888	31.647237215766324	17.204650534085253	43.21114528594535	30.188870872033323	24.839484696748443	51.43468702089762	0.8595676403600458	1.1746135454404039	0.7317876110800031	0.5247255182443347	0.3401860009789525	83.0	3.0	49.20365840057018	
3	16	no	1411.0	139.05382375999991	44.654227123532216	38.01315561749642	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1747045568345051	-1.0	-1.0	-1.0	114.0	4.0	-1.0	
3	17	small	1488.0	149.5391051199999	44.27188724235731	38.897300677553446	6.911227119024687	4.763641690726189	7.615773105863909	-1.0	14.317821063276353	3.1622776601683795	28.588102018135782	21.02379604162864	38.07886552931945	-1.0	1.13817376710424	-1.0	0.19564609806796837	0.06134094151212553	113.0	3.0	43.86342439892262	
3	18	medium	2089.0	199.48023056000005	48.83646178829912	41.773197148410844	21.801409486351822	19.84357755826047	23.706539182259394	23.495349326747135	16.15549442140351	16.401679619466496	43.40103520347786	22.360679774997898	48.317908104299704	1.0089885812113395	1.1690860437326374	0.8630575881223066	0.4849296226186116	0.2714546561168594	100.0	3.0	48.02082881417188	
3	19	medium	2011.0	199.23758988	42.44997055358225	38.600518131237564	73.79400131100573	73.68966776334649	26.92582403567252	29.247054510710374	16.64331697709324	44.499441939909474	12.22781513955982	20.248456731316587	46.36543446069772	0.92063370093601	1.0997254080698338	0.8371487047406191	0.6473768869316974	0.4775900073475386	129.0	4.0	39.81205847478876	
3	20	no	1174.0	126.22539663999986	40.24922359499622	35.77708763999664	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.125	-1.0	-1.0	-1.0	97.0	3.0	-1.0	
3	21	no	1352.0	135.63961019999988	42.5440947723653	38.07886552931954	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1172626647610515	-1.0	-1.0	-1.0	141.0	3.0	-1.0	
3	22	large	3118.0	261.52186108000024	51.92301994298868	43.68065933568311	20.742105358627157	36.35902110028661	40.607881008493905	40.782173321212156	16.401219466856727	32.43262818397364	54.94422557947561	23.600847442411894	54.70693729464299	0.9957262622728447	1.188695883547992	0.8376627496183666	0.8286352087774902	0.7103675260559518	144.0	4.0	50.21951811795888	
3	23	small	1700.0	170.02438647999998	46.69047011971501	39.6232255123179	5.858938779663049	8.569141879837645	15.811388300841896	20.092252992707945	15.811388300841896	4.540541130908065	36.24137059597994	21.400934559032695	30.472857452531652	0.7869395386659875	1.1783611635857376	0.6678254197306883	0.3286121408689668	0.15176151761517614	116.0	4.0	45.60701700396552	
3	24	large	2012.0	200.65180344	44.40720662234904	36.345563690772494	19.075098492445534	21.801409486351815	28.861739379323623	28.80665737046464	16.492422502470642	17.384565675686336	45.53513089192164	20.396078054371138	46.80937563201226	1.0019121277470902	1.2218054175790167	0.8200259332065815	0.685126204880948	0.5253980288097043	136.0	3.0	43.41658669218482	
3	25	no	1209.0	127.88225087999986	41.10960958218893	36.124783736376884	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1379890847842622	-1.0	-1.0	-1.0	124.0	4.0	-1.0	
3	26	no	1358.0	135.88225087999987	43.01162633521314	38.01315561749642	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1314931800983146	-1.0	-1.0	-1.0	131.0	4.0	-1.0	
3	27	medium	1778.0	184.16652208000002	43.382023926967726	38.91015291668744	6.2377996015057136	11.900589688666884	22.80350850198276	22.579687029612575	15.0	6.915306683363611	41.73717855792629	19.72308292331602	33.53457132644524	1.009912514379701	1.114928127367046	0.9058095222376853	0.4958754517299311	0.3150887573964497	125.0	4.0	41.88078318274385	
5	28	large	2162.0	212.0660170000001	43.829214001622255	38.01315561749642	15.068488159492233	17.987334652061463	31.400636936215164	31.890750113518298	15.0	15.01281770591746	49.535482372142404	20.615528128088304	48.61557436242252	0.984631494224547	1.1530011989177993	0.8539726542771306	0.7593915309953674	0.6194756554307116	148.0	4.0	42.638011210655684	
5	29	small	1789.0	165.09545427999998	49.92995093127971	44.10215414239989	31.759480084812793	32.73522627210758	5.0	-1.0	13.152946437965905	14.179865727776189	22.924050302296294	22.0	26.222222222222236	-1.0	1.13214313228471	-1.0	0.1347146608317739	0.022285714285714287	112.0	5.0	46.69047011971501	
5	30	medium	2119.0	202.3086576800001	44.64302857109943	39.56008088970496	10.50506386991735	15.592810939266347	29.0	28.300116594712247	17.0	11.647955271937635	49.06461150601747	21.095023109728988	43.333333333333336	1.0247307604880513	1.128486786858852	0.908057384828044	0.653629401047765	0.47152777777777777	116.0	4.0	44.721359549995796	
