image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	1	no	1663.0	150.3675322399999	48.093658625644196	43.04648650006177	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1172493398636654	-1.0	-1.0	-1.0	48.0	4.0	-1.0	
1	2	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	3	small	1921.0	182.75230851999999	46.61544808322666	42.5440947723653	28.278516494443807	33.595520120852996	18.027756377319946	21.39283052148727	17.204650534085253	20.057728466551737	35.04599188154511	22.02271554554524	36.24935959740676	0.842700845931192	1.0956972602812536	0.7691000757954618	0.387877371140075	0.2028804007514089	69.0	4.0	44.68780594300866	
1	4	large	2037.0	209.13708480000005	41.43669871020132	34.17601498127012	26.233865388662593	38.71724441391268	33.83784863137726	31.697781714993503	13.92838827718412	29.29770077704392	43.18818331537218	19.1049731745428	46.84053390934093	1.06751472187	1.2124496882655966	0.8804610469215219	0.8287961534247571	0.7410256410256411	63.0	5.0	39.11521443121589	
1	5	large	2369.0	220.89444412000012	44.82186966202994	39.824615503479755	24.227745317954167	27.710814015253092	34.92849839314596	33.96489691413546	17.46424919657298	24.20693309273394	48.58803972208911	19.235384061671343	52.056896643631	1.0283705109262224	1.1254815418899284	0.9137160163456476	0.8274826660157587	0.6683098591549296	108.0	4.0	42.20189569201838	
1	6	large	2076.0	208.30865768000007	40.792156108742276	36.87817782917155	36.511056119495294	38.609504685353016	34.88552708502482	29.826573176650975	14.7648230602334	32.94751070321492	41.65064790118198	18.788294228055936	52.799716669226754	1.1696123077368514	1.1061326375099443	1.0573888411518249	0.8214526694067537	0.696078431372549	107.0	4.0	38.3275357934736	
1	7	no	1380.0	137.29646443999985	42.638011210655684	39.05124837953327	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.091847584391239	-1.0	-1.0	-1.0	48.0	4.0	-1.0	
1	8	large	2045.0	201.82337632000008	41.10960958218893	41.10960958218893	20.40988283380399	15.255118703057782	28.844410203711913	28.596521264246242	14.422205101855956	14.546477236774544	46.485481604475176	20.12461179749811	55.285119557114484	1.0086684998211863	1.0	1.0086684998211863	0.6760135168462885	0.499266862170088	68.0	3.0	40.8166632639171	
1	9	no	1197.0	128.71067799999983	42.7551166528639	34.52535300326414	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2383687039730396	-1.0	-1.0	-1.0	50.0	3.0	-1.0	
3	10	no	1524.0	142.71067799999986	44.598206241955516	41.78516483155236	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.06732153437095	-1.0	-1.0	-1.0	150.0	3.0	-1.0	
3	11	no	1631.0	148.02438647999992	45.0	44.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0227272727272727	-1.0	-1.0	-1.0	136.0	3.0	-1.0	
3	12	no	1440.0	140.12489155999987	44.384682042344295	39.05124837953327	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.13657524110308	-1.0	-1.0	-1.0	103.0	4.0	-1.0	
3	13	medium	1867.0	184.16652208	44.598206241955516	40.496913462633174	43.68811221749587	45.0	21.02379604162864	22.135535413513942	15.231546211727817	28.319524627244753	29.780047338985128	20.615528128088304	40.049855807808406	0.9497758083951032	1.1012742065665484	0.8624335362908635	0.4514013402768814	0.25639300134589504	68.0	3.0	42.04759208325728	
3	14	medium	2092.0	209.13708480000008	45.39823785126467	38.3275357934736	17.58100992352135	18.115310412219827	29.966648127543394	28.298082591229363	13.601470508735444	15.661400830785627	48.972624019298806	21.02379604162864	50.369472384594204	1.0589639079232591	1.1844809980973279	0.8940319934421141	0.674238130332222	0.48263642806520196	127.0	4.0	44.384682042344295	
3	15	no	1646.0	150.6101729199999	46.010868281309364	44.01136216933077	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0454315888766548	-1.0	-1.0	-1.0	37.0	4.0	-1.0	
