image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	small	1394.0	143.0538237599999	44.94441010848846	36.40054944640259	16.015439606265673	38.181785428348135	5.830951894845301	-1.0	12.041594578792296	9.122380269544689	23.351295871277134	20.0	14.757347388188723	-1.0	1.234717903768627	-1.0	0.14793636845788607	0.04263275991024682	117.0	5.0	43.60045871318328	
1	1	no	1135.0	124.22539663999987	41.0	33.95585369269929	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2074501313102088	-1.0	-1.0	-1.0	78.0	3.0	-1.0	
1	2	large	2026.0	198.9949492	39.6232255123179	34.713109915419565	29.626460977420933	31.172266376650462	33.301651610693426	33.170410019665624	18.439088914585774	26.171519016734813	44.363642547507155	17.804493814764857	50.56195127421534	1.003956586335532	1.1414484501348945	0.8795461470177528	0.8993771239322585	0.8121645796064401	119.0	4.0	37.73592452822641	
1	3	no	1383.0	137.88225087999984	45.17742799230607	37.12142238654117	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.217017697271366	-1.0	-1.0	-1.0	104.0	3.0	-1.0	
1	4	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	5	large	1971.0	201.13708480000008	40.11234224026316	35.05709628591621	10.678947196535148	17.512256157532818	32.31098884280702	31.96116572037883	15.811388300841896	12.938661045802721	47.864774261812364	17.72004514666935	42.99846976773544	1.0109452554230567	1.1442003614080793	0.8835386611650464	0.875049100582004	0.7629695885509838	112.0	3.0	38.8329756778952	
1	6	no	1254.0	132.36753223999983	44.598206241955516	35.11409973215888	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2700939674415381	-1.0	-1.0	-1.0	100.0	4.0	-1.0	
1	7	no	1108.0	122.71067799999985	38.05259518088089	36.05551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.055389100685692	-1.0	-1.0	-1.0	96.0	3.0	-1.0	
1	8	large	1621.0	180.50966784	40.24922359499622	33.54101966249684	9.688786560366793	8.972626614896399	25.80697580112788	25.450077704754626	14.212670403551895	7.155417527999327	43.37971876349592	18.601075237738275	45.87906809089399	1.0140234580229426	1.2000000000000002	0.8450195483524521	0.6505087660807498	0.49815157116451014	123.0	3.0	39.66106403010388	
1	9	medium	1732.0	180.75230852	41.400483088968905	36.40054944640259	47.746400677344226	62.610031759893396	23.259406699226016	24.727874890564475	15.652475842498529	35.41021482405391	22.307355585267096	18.439088914585774	39.88104119422846	0.9406148648908448	1.1373587409697863	0.8270168690037192	0.5666651842138997	0.3844924060751399	108.0	3.0	38.3275357934736	
1	10	large	1858.0	194.066017	43.56604182158393	35.510561809129406	5.073704730062957	7.125016348901781	27.018512172212592	27.78847411991375	15.033296378372908	5.164572924054997	46.74665551400065	20.09975124224178	41.638118073615395	0.972292039340534	1.2268474392422466	0.7925125881511911	0.6396998004150694	0.4923694779116466	93.0	3.0	43.73785545725808	
1	11	large	1829.0	191.92388140000003	37.48332962798263	34.36568055487916	33.73676334246508	35.788973459183325	29.698484809834994	30.93756979714033	15.556349186104045	27.212096954122615	37.94483272105202	17.69180601295413	46.53218818130829	0.9599488584452465	1.090719840921667	0.8801058002521362	0.8034239322651308	0.6597096188747731	110.0	3.0	36.359317925395686	
1	12	large	2243.0	210.5512983600001	44.553338819890925	38.18376618407357	48.012787504183336	53.2617598090915	31.25699921617557	33.52112862698988	17.11724276862369	39.03186710719916	31.11269837220809	19.026297590440446	48.70602297215889	0.9324566473877218	1.1668136297795082	0.7991478875370417	0.748176690222791	0.6183261183261183	112.0	3.0	40.44749683231337	
1	13	small	1398.0	151.4386000399999	43.0	36.0	0.0	0.0	12.0	15.566739075135493	14.0	0.0	33.0	21.0	-1.0	0.7708743585975184	1.1944444444444444	0.6453831839421085	0.29525800716421186	0.1246983105390185	91.0	3.0	43.04648650006177	
1	14	small	1304.0	138.8111830799999	41.036569057366385	35.38361202590826	4.365257735027932	2.423771344113561	9.219544457292887	-1.0	15.620499351813308	1.8520066795486014	28.37471763099992	19.209372712298546	43.792836172141115	-1.0	1.1597620115017926	-1.0	0.23813855090585057	0.08757297748123437	93.0	4.0	39.824615503479755	
1	15	no	1231.0	129.39696951999989	43.01162633521314	35.805027579936315	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2012733753433864	-1.0	-1.0	-1.0	89.0	3.0	-1.0	
