image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	F	0.09481534090909091	0.5955056179775281	-1.0	0.019857589660567207	168.1086628645095	72.45170797120545	4.0	0.34831460674157305	
1	1	large	F	0.09921778509674763	0.5518672199170125	0.01734980958386489	-1.0	133.5669888827586	49.68441183558557	2.0	0.46887966804979253	
1	2	large	iso	0.30629853321829165	0.9140845070422535	-1.0	0.18763107979301782	74.04995770012454	25.179356624028344	2.0	0.24225352112676057	
1	3	large	E	0.1661831744716121	0.713216957605985	-1.0	0.06358976815045117	191.85051455643801	66.86135635613861	2.0	0.39900249376558605	
1	4	large	E	0.16537800687285223	0.6155844155844156	-1.0	0.13682954805102754	192.68204660329442	71.69686835214608	8.0	0.5558441558441558	
1	5	large	iso	0.3483483483483483	0.9037356321839081	-1.0	0.17042720065103906	73.51502236708438	25.553864678361276	2.0	0.14080459770114942	
1	6	large	api	0.33251833740831294	0.6794117647058824	-1.0	0.23937132728905464	84.83315676509058	30.947165639067986	1.0	0.17647058823529413	
1	7	large	iso	0.3250711093051605	0.92125	-1.0	0.2605664681263523	90.75039571285154	32.368441393188846	6.0	0.145	
1	8	large	E	0.1889198884017537	0.5464135021097046	-1.0	0.0014909190569958044	174.41123434084255	70.64754520175272	4.0	0.35654008438818563	
1	9	large	iso	0.31129476584022037	0.9174041297935103	-1.0	0.18931529235072414	93.27644038786693	35.65933763710994	1.0	0.23303834808259588	
2	10	large	iso	0.34397016162453375	0.9012048192771084	-1.0	0.15227853596835658	88.46810555217812	30.00630884035216	2.0	0.1710843373493976	
2	11	no	B	0.10356200527704486	-1.0	-1.0	-1.0	7.211102550927978	3.605551275463989	1.0	0.18471337579617833	
2	12	small	api	0.19759341355288157	0.7467948717948718	-1.0	0.18184678204376575	95.91100071901289	36.76955262170047	6.0	0.7628205128205128	
2	13	large	F	0.1020145735105015	0.7689075630252101	-1.0	0.05391032637849492	173.76620067637657	69.05556292128192	5.0	0.6470588235294118	
2	14	small	api	0.16522893165228933	0.678714859437751	-1.0	0.10685187989279823	28.894341056855534	12.28594359862068	1.0	0.27309236947791166	
2	15	small	api	0.19928644240570845	0.7033248081841432	-1.0	0.08968575935041637	64.73331916381291	22.23825695170173	2.0	0.16624040920716113	
2	16	no	B	0.11336032388663968	-1.0	-1.0	-1.0	18.0	9.0	1.0	0.30714285714285716	
2	17	medium	iso	0.20712277413308341	0.9276018099547512	-1.0	0.20734561924681846	59.06301602339117	20.12461179749811	2.0	0.2986425339366516	
2	18	large	F	0.1450875856816451	0.5931758530183727	-1.0	0.00578450312593481	40.92137306404517	11.913714425143521	1.0	0.16010498687664043	
2	19	no	B	0.12368421052631579	-1.0	-1.0	-1.0	82.36812702568994	31.400636936215164	3.0	0.9645390070921985	
2	20	large	F	0.15676141257536608	0.6318681318681318	-1.0	0.02713910437563374	46.56993461202205	13.000937912998413	3.0	0.12912087912087913	
2	21	small	api	0.1048097631012204	0.4589041095890411	-1.0	0.01749913324673783	35.256494859188365	10.755873763085166	1.0	0.4383561643835616	
3	22	large	F	0.15157048940832724	0.5662650602409639	0.024601231264068844	-1.0	104.78846660756189	47.66353024905014	6.0	0.3566265060240964	
3	23	small	api	0.1334033613445378	0.7086614173228346	-1.0	0.14501764767443012	42.45192710211613	16.083045973594572	2.0	0.38188976377952755	
3	24	medium	iso	0.22211808809746955	0.8839662447257384	-1.0	0.20416378953336517	129.65553259810673	54.349671709181656	5.0	0.3628691983122363	
3	25	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	26	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	27	small	api	0.1373100731570062	0.26639344262295084	0.02078879903415382	-1.0	45.918244208304245	18.13274595042156	5.0	0.4098360655737705	
3	28	large	api	0.3671975893241498	0.9015240328253223	-1.0	0.22959727293278215	108.7107664420121	35.512832165083886	2.0	0.22743259085580306	
3	29	large	iso	0.3773496240601504	0.8169364881693649	-1.0	0.1932139164571001	93.586049912563	33.52749633780765	6.0	0.19053549190535493	
3	30	small	api	0.15335463258785942	0.29583333333333334	0.026681727085103128	-1.0	100.67447320170382	41.88779011023453	3.0	0.6416666666666667	
3	31	small	api	0.1364441819255759	0.7229437229437229	-1.0	0.1113931231041076	118.22663390997701	53.247256709205644	5.0	0.5584415584415584	
3	32	no	B	0.11764705882352941	-1.0	-1.0	-1.0	85.04276677696761	36.76955262170047	2.0	0.30864197530864196	
3	33	medium	iso	0.13480392156862744	0.990909090909091	-1.0	0.23616563308560523	110.09431417565023	45.193579564632664	2.0	0.8818181818181818	
3	34	medium	iso	0.27753086419753087	0.8380782918149466	-1.0	0.2000819995844847	134.33753299679952	57.30035458878022	6.0	0.22419928825622776	
3	35	medium	iso	0.2522163120567376	0.9332161687170475	-1.0	0.1535487234596734	85.12933973617476	30.924788695618602	3.0	0.23725834797891038	
4	36	medium	iso	0.22110286320254507	0.8033573141486811	-1.0	0.15356110342130116	67.39617384831939	22.278820596099706	2.0	0.27577937649880097	
4	37	medium	F	0.285	0.8740031897926634	-1.0	0.12827252387915702	70.91250925884636	24.698178070456937	3.0	0.1722488038277512	
4	38	large	iso	0.3114669421487603	0.9137645107794361	-1.0	0.19501524810298962	117.61327887350565	44.435229976212234	5.0	0.2703150912106136	
4	39	large	iso	0.37384817902588857	0.886150234741784	-1.0	0.21333379797564872	94.54608022399742	33.65275174608446	2.0	0.17253521126760563	
4	40	no	B	0.20180305131761442	-1.0	-1.0	-1.0	68.3777902210229	29.427877939124322	1.0	0.22336769759450173	
4	41	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	42	large	iso	0.27634276342763425	0.9584569732937686	-1.0	0.27745519508791283	79.37516173935467	27.892651361962706	4.0	0.17210682492581603	
4	43	medium	iso	0.25429726996966634	0.7972166998011928	-1.0	0.17152871509482334	89.26903390853232	30.46184885613486	5.0	0.31809145129224653	
4	44	no	B	0.16357615894039734	-1.0	-1.0	-1.0	98.63199781026326	38.600518131237564	1.0	0.21052631578947367	
4	45	large	F	0.0621610346266166	0.5369127516778524	-1.0	0.003888626201594501	164.75862530875605	61.03657898906972	5.0	0.738255033557047	
4	46	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	47	small	api	0.14194780394653086	0.5515695067264574	-1.0	0.05247418659778386	38.731908953702714	13.362872419578737	6.0	0.31390134529147984	
4	48	medium	iso	0.28225407810182895	0.8651488616462347	-1.0	0.15998139622865443	150.86975727996634	61.6206952919919	9.0	0.35901926444833626	
4	49	small	api	0.1520912547528517	0.425	-1.0	0.00550381871357005	29.49967208835925	10.30308784984488	1.0	0.28	
4	50	medium	iso	0.182168409466153	0.8942598187311178	-1.0	0.18494888738861096	46.389137834797516	17.11724276862369	1.0	0.3776435045317221	
4	51	no	B	0.11508282476024412	-1.0	-1.0	-1.0	90.52238078878965	33.54101966249684	3.0	0.6136363636363636	
5	52	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
5	53	medium	iso	0.2191185599006828	0.7110481586402266	-1.0	0.08311072567137227	65.41350550863591	24.758127572186904	6.0	0.2521246458923513	
5	54	medium	iso	0.24022038567493112	0.9174311926605505	-1.0	0.25175902693760827	54.760198213753554	21.470910553583888	1.0	0.22935779816513763	
5	55	medium	iso	0.2421875	0.7842741935483871	-1.0	0.12688787049168065	48.59387981631176	18.110770276274835	1.0	0.1310483870967742	
5	56	large	iso	0.3168685927306617	0.9161764705882353	-1.0	0.22734997942105525	94.09323284305958	31.095085071499387	5.0	0.2735294117647059	
5	57	small	api	0.1336206896551724	0.543778801843318	-1.0	0.07496975832784025	36.67591784900721	16.218098372906535	1.0	0.4423963133640553	
5	58	small	api	0.1899092970521542	0.29253731343283584	0.06062986087853447	-1.0	107.62632448479357	43.48044293392652	1.0	0.33432835820895523	
5	59	small	api	0.10951403148528405	0.1375	0.048465851614075836	-1.0	101.09895856533377	39.45883931389772	3.0	0.88125	
