image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	no	B	0.1147842056932966	-1.0	-1.0	-1.0	15.972527336075034	7.810249675906654	2.0	0.368	
1	1	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	2	no	B	0.09099437148217636	-1.0	-1.0	-1.0	49.47726750741192	24.73863375370596	1.0	0.27835051546391754	
1	3	medium	iso	0.24144736842105263	0.8010899182561307	-1.0	0.17529134676991748	45.440184046707785	17.46424919657298	2.0	0.23978201634877383	
1	4	no	B	0.10083256244218317	-1.0	-1.0	-1.0	31.154294740411732	15.264337522473747	2.0	0.4954128440366973	
1	5	small	api	0.09863339275103981	0.26506024096385544	0.029669286571081723	-1.0	41.38490735391012	14.753251438352311	2.0	0.3313253012048193	
1	6	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	7	no	A	0.4513018322082932	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.019230769230769232	
1	8	large	F	0.06369710467706013	0.6013986013986014	-1.0	0.02131636627883597	43.495556599346784	14.56804390453679	1.0	0.36363636363636365	
1	9	no	B	0.17013232514177692	-1.0	-1.0	-1.0	69.96166070275598	26.92582403567252	1.0	0.18888888888888888	
1	10	no	B	0.1197252208047105	-1.0	-1.0	-1.0	69.62807528992494	32.28002478313795	1.0	0.2459016393442623	
1	11	medium	E	0.24759793052475979	0.31044776119402984	0.035243087769218966	-1.0	28.439088914585774	14.219544457292887	1.0	0.09253731343283582	
1	12	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	13	no	B	0.18536324786324787	-1.0	-1.0	-1.0	19.090026049960635	9.219544457292887	1.0	0.09798270893371758	
1	14	no	B	0.0831255195344971	-1.0	-1.0	-1.0	27.046156081109757	13.152946437965905	1.0	0.35	
1	15	no	B	0.11248710010319918	-1.0	-1.0	-1.0	69.45879802938812	29.410882339705484	2.0	0.44036697247706424	
1	16	medium	iso	0.2473886750962067	0.66	-1.0	0.13058863076564872	67.28478411707351	26.12354519356009	3.0	0.17333333333333334	
1	17	no	B	0.21786310517529214	-1.0	-1.0	-1.0	75.44742634313782	31.78049716414141	2.0	0.16091954022988506	
2	18	no	B	0.2026266416510319	-1.0	-1.0	-1.0	81.8083377021452	32.55764119219941	2.0	0.37962962962962965	
2	19	medium	iso	0.2986206896551724	0.7274826789838337	-1.0	0.12160367674970275	124.03040159635317	53.264102585812864	4.0	0.2909930715935335	
2	20	large	iso	0.35755358076319915	0.8728070175438597	-1.0	0.17098116789808904	82.43280164793505	31.206163733020468	3.0	0.20175438596491227	
2	21	medium	iso	0.22056473095364945	0.8019323671497585	-1.0	0.16243498815357726	100.38895492338875	42.94658771161395	7.0	0.32367149758454106	
2	22	no	B	0.1228230980751604	-1.0	-1.0	-1.0	71.7585838122421	31.953090617340916	3.0	0.4552238805970149	
2	23	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	24	small	api	0.15347432024169183	0.5866141732283464	-1.0	0.07086116972744237	103.7299914547956	40.52219380811345	5.0	0.594488188976378	
2	25	no	B	0.06701030927835051	-1.0	-1.0	-1.0	60.22375807496165	28.653097563788805	1.0	0.6307692307692307	
2	26	no	B	0.1847457627118644	-1.0	-1.0	-1.0	74.96430981283066	33.52610922848042	2.0	0.16972477064220184	
2	27	medium	iso	0.2866666666666667	0.8350951374207188	-1.0	0.15456430380840733	81.77118772924929	32.209537576794006	4.0	0.2769556025369979	
2	28	no	B	0.10981987216734457	-1.0	-1.0	-1.0	109.42149107479051	41.97618372363071	3.0	0.6190476190476191	
2	29	large	iso	0.36706586826347304	0.6900489396411092	-1.0	0.1553042417403657	54.516896502967576	21.02379604162864	2.0	0.1370309951060359	
4	30	medium	iso	0.27249357326478146	0.7018867924528301	-1.0	0.15063131100449298	67.63819459258633	27.59274433784994	3.0	0.2188679245283019	
4	31	small	api	0.24908996359854393	0.5073068893528184	-1.0	0.06665316448448498	126.21370178797758	42.15125812263415	9.0	0.3653444676409186	
4	32	small	api	0.12481857764876633	0.22674418604651161	0.06257145865207903	-1.0	40.3234318191048	19.4164878389476	3.0	0.37790697674418605	
