image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	small	2073.0	179.58073563999994	50.08991914547278	46.06517122512408	25.55996517182382	43.15622427954332	13.601470508735444	17.735893363345575	18.24828759089466	19.624707261857207	30.89101727302148	23.0	28.691513970143646	0.7668895064990263	1.0873707361398797	0.7052695837865306	0.2598549456160988	0.09393139841688654	159.0	5.0	48.507731342539614	
1	1	no	1192.0	127.88225087999984	40.162171256046406	36.68787265568828	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0946988295822992	-1.0	-1.0	-1.0	73.0	3.0	-1.0	
1	2	medium	3232.0	256.45079328000014	57.3149195236284	48.373546489791295	32.87549047622008	31.175700495738596	36.40054944640259	31.689745267628673	19.209372712298546	33.49913104577368	54.451248484662514	27.018512172212592	64.71208790471573	1.1486538985716002	1.1848401385191818	0.9694589685383149	0.6056792492838806	0.4163014899211218	118.0	4.0	55.569775957799216	
1	3	no	1402.0	138.95331867999982	45.60701700396552	37.36308338453881	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2206438246699447	-1.0	-1.0	-1.0	120.0	3.0	-1.0	
1	4	large	1864.0	197.23758988000003	45.35416188179427	33.95585369269929	17.66127885417312	18.58299960326636	29.68164415931166	25.996415423749312	14.422205101855956	15.52228000232531	47.06110511789546	19.72308292331602	48.70833913322935	1.1417591108424767	1.335680212674072	0.854814722871907	0.6857820672833895	0.5093117408906883	100.0	3.0	44.384682042344295	
1	5	medium	2444.0	225.13708480000014	54.378304497290095	42.720018726587654	5.558530383654233	11.905620605435619	28.792360097775937	24.245011488422165	13.92838827718412	8.477645712969473	53.55802895694935	25.942243542145693	41.09373995379165	1.1875581132030104	1.2728998281886679	0.9329548852975348	0.5081587002628228	0.30485851575013345	128.0	5.0	54.20332093147061	
1	6	large	3327.0	264.1076475200002	55.54277630799526	46.09772228646444	19.752421896668835	24.46287607337041	40.607881008493905	36.97202866084112	19.209372712298546	25.76392638468111	61.282854333770366	26.627053911388696	62.2161431725426	1.0983406234211783	1.2048919893012622	0.9115677033076842	0.7356235789479758	0.5949185043144775	124.0	4.0	55.072679252057455	
1	7	large	2250.0	223.86500684000015	46.32493928760188	39.293765408777	11.42347925266742	19.95379922035721	32.449961479175904	29.420862997210154	12.206555615733702	15.434450881004354	52.32382233189477	21.93171219946131	45.227529157136026	1.1029574993178475	1.1789386638230994	0.9355512149725772	0.6856950430258952	0.5161725067385444	77.0	4.0	45.880278987817846	
1	8	medium	2122.0	202.06601700000004	50.0	41.7612260356422	30.475499880616425	41.46415097711041	22.47220505424423	23.168922862960418	14.422205101855956	26.72	37.16365986658067	23.345235059857504	40.35331445224502	0.9699287786127506	1.1972828565264393	0.8101082992424288	0.44365081383999605	0.2526564344746163	122.0	4.0	48.25971404805462	
1	9	no	2241.0	184.75230851999999	57.48912940721924	48.507731342539614	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1851539500220503	-1.0	-1.0	-1.0	97.0	5.0	-1.0	
2	10	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	11	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	12	no	1240.0	130.46803731999984	42.44997055358225	35.38361202590826	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.199707099504141	-1.0	-1.0	-1.0	154.0	3.0	-1.0	
2	13	large	3279.0	257.7645017600002	51.73973328110612	50.32891812864648	48.17983011986422	53.55371229097001	37.12142238654117	37.80854891820045	19.026297590440446	48.376747255363696	38.76498984168546	25.0	60.139106947257325	0.9818261596564869	1.0280318990536104	0.9550541773658389	0.7048158094041922	0.5401596993893847	83.0	4.0	51.35172830587107	
2	14	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	15	small	1360.0	140.95331867999988	41.43669871020132	37.94733192202055	38.65980825409008	35.692232506348944	7.280109889280518	-1.0	12.649110640673518	16.145108583066214	21.18726032312814	18.973665961010276	27.672690431412907	-1.0	1.091952888686646	-1.0	0.1677306161614481	0.043745203376822715	98.0	3.0	40.049968789001575	
2	16	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	17	no	2752.0	196.65180344000007	62.00806399170998	55.00909015790027	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1272330411886395	-1.0	-1.0	-1.0	103.0	3.0	-1.0	
2	18	no	1364.0	139.8822508799999	46.69047011971501	36.069377593742864	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2944628722347191	-1.0	-1.0	-1.0	95.0	4.0	-1.0	
2	19	large	3163.0	258.45079328000014	53.48831648126533	45.880278987817846	48.609670097498	49.86139511178837	41.182520563948	37.82796943317851	18.35755975068582	49.337877383453055	41.49931173054878	22.825424421026653	64.53721601440546	1.0886791223804695	1.1658236972680043	0.933828266599559	0.7550906856421546	0.5926485397784491	88.0	4.0	47.75981574503821	
2	20	small	1949.0	185.33809495999998	54.230987451824994	40.311288741492746	6.8090501796133935	8.825096515767221	15.264337522473747	15.982775246439347	13.892443989449804	5.347496212522696	40.26167484765707	25.059928172283335	34.85557387021562	0.9550492506534086	1.3453052270195616	0.7099126885645569	0.2773431739487449	0.11180832857957787	89.0	3.0	54.56189146281496	
2	21	small	2165.0	194.40916276000007	51.264022471905186	45.880278987817846	8.054414446381742	7.51644171626949	17.0	17.40661960382193	13.416407864998739	5.735016212610398	41.477515873547446	25.059928172283335	43.842105263157904	0.9766399442811602	1.1173433031110565	0.8740732965077688	0.29255490697142306	0.12584503380135206	74.0	3.0	51.97114584074513	
2	22	no	1082.0	122.22539663999987	40.24922359499622	33.54101966249684	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2000000000000002	-1.0	-1.0	-1.0	84.0	3.0	-1.0	
2	23	medium	2435.0	220.79393904000014	52.23983154643591	45.17742799230607	15.708637829015743	21.99668593888245	28.160255680657446	23.22934336644385	13.341664064126334	17.419658009254917	50.68902993747226	25.495097567963924	46.50786328384443	1.212270843666489	1.1563259323955448	1.048381610844828	0.5040344541444683	0.28904182106934884	56.0	3.0	52.3450093132096	
