image_number	cell_id	Cgroup	Dgroup	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	
1	0	no	A	1.0	25.632011235952593	-1.0	25.632011235952593	0.5452385421751687	-1.0	0.5452385421751687	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	25.942243542145693	-1.0	25.942243542145693	-1.0	-1.0	-1.0	-1.0	-1.0	3.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.2602896031476768	0.13043478260869565	-1.0	-1.0	-1.0	-1.0	-1.0	64.51587300958269	27.64597536373867	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.246211251235321	-1.0	8.246211251235321	14.422205101855956	-1.0	14.422205101855956	7.211102550927978	-1.0	7.211102550927978	2.0	-1.0	2.0	-1.0	-1.0	-1.0	3.1622776601683795	-1.0	3.1622776601683795	181.53216374269005	-1.0	181.53216374269005	0.997068487855164	-1.0	0.997068487855164	-1.0	-1.0	
1	1	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	2	large	E	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	3	medium	A1	1.0	-1.0	29.732137494637012	29.732137494637012	-1.0	0.6098338704928881	0.6098338704928881	16.0	-1.0	16.0	-1.0	0.35006666943498904	-1.0	0.35006666943498904	-1.0	-1.0	6.082762530298219	6.082762530298219	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30.083217912982647	30.083217912982647	-1.0	26.570660511172846	26.570660511172846	19.026297590440446	-1.0	19.026297590440446	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	26.92582403567252	26.92582403567252	9.0	-1.0	21.840329667841555	-1.0	0.3007732496038529	0.19999999999999998	-1.0	-1.0	-1.0	0.4120816918460671	-1.0	36.0273733851036	60.255118703057775	-1.0	-1.0	-1.0	-1.0	36.13352570368937	-1.0	-1.0	-1.0	8.017093073655317	-1.0	-1.0	-1.0	-1.0	2.6025622024998256	5.615349706683162	2.6025622024998256	-1.0	9.486832980505138	-1.0	9.486832980505138	16.278820596099706	-1.0	16.278820596099706	8.246211251235321	-1.0	8.246211251235321	1.9740969640646864	-1.0	1.9740969640646864	-1.0	-1.0	-1.0	3.1622776601683795	-1.0	3.1622776601683795	98.24056603773585	-1.0	98.24056603773585	1.3029240889230327	-1.0	1.3029240889230327	-1.0	-1.0	
1	4	small	D	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	5	small	A1	1.0	-1.0	29.068883707497267	29.068883707497267	-1.0	0.5277406726173451	0.5277406726173451	20.615528128088304	-1.0	20.615528128088304	-1.0	0.4142203790328724	-1.0	0.4142203790328724	-1.0	-1.0	3.1622776601683795	3.1622776601683795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	29.5296461204668	29.5296461204668	-1.0	26.019223662515376	26.019223662515376	23.769728648009426	-1.0	23.769728648009426	-1.0	-1.0	2.8284271247461903	2.8284271247461903	-1.0	-1.0	-1.0	-1.0	26.419689627245813	26.419689627245813	11.40175425099138	-1.0	20.591260281974	-1.0	0.15871016626723794	0.1289651760438322	-1.0	-1.0	-1.0	0.5537181355029882	-1.0	73.61045966596521	42.95459151111278	-1.0	-1.0	-1.0	-1.0	59.43206293613592	-1.0	-1.0	-1.0	35.45547443444187	-1.0	-1.0	-1.0	-1.0	6.818214571651879	6.233584050946689	8.394368296968622	-1.0	11.40175425099138	-1.0	11.40175425099138	21.633307652783937	-1.0	21.633307652783937	8.602325267042627	-1.0	8.602325267042627	2.5148209328547284	-1.0	2.5148209328547284	-1.0	-1.0	-1.0	3.1622776601683795	-1.0	3.1622776601683795	83.93333333333334	-1.0	83.93333333333334	1.3105639396346307	-1.0	1.3105639396346307	-1.0	-1.0	
1	6	medium	A1	1.0	-1.0	26.870057685088806	26.870057685088806	-1.0	0.5891649892987402	0.5891649892987402	15.0	-1.0	15.0	-1.0	0.36380343755449945	-1.0	0.36380343755449945	-1.0	-1.0	5.0990195135927845	5.0990195135927845	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.0178514522438	28.0178514522438	-1.0	26.248809496813376	26.248809496813376	17.029386365926403	-1.0	17.029386365926403	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	27.018512172212592	27.018512172212592	6.0	-1.0	20.248456731316587	-1.0	-1.0	0.16666666666666666	-1.0	-1.0	-1.0	0.2963188789948769	-1.0	40.815083874881566	18.434948822922024	-1.0	-1.0	-1.0	-1.0	29.744881296942225	-1.0	-1.0	-1.0	19.517729825847827	-1.0	-1.0	-1.0	-1.0	2.862405226111747	6.228865889541538	7.4424412426542865	-1.0	10.44030650891055	-1.0	10.44030650891055	18.384776310850235	-1.0	18.384776310850235	8.54400374531753	-1.0	8.54400374531753	2.151775310366157	-1.0	2.151775310366157	-1.0	-1.0	-1.0	2.23606797749979	-1.0	2.23606797749979	92.3875	-1.0	92.3875	1.2014612366391557	-1.0	1.2014612366391557	-1.0	-1.0	
1	7	no	A	1.0	27.313000567495326	-1.0	27.313000567495326	0.5809961799237348	-1.0	0.5809961799237348	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	38.01315561749642	-1.0	38.01315561749642	-1.0	-1.0	-1.0	-1.0	-1.0	14.422205101855956	14.422205101855956	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.15115257250787006	0.6046102900314803	-1.0	-1.0	-1.0	-1.0	-1.0	8.226722464108178	8.226722464108178	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	15.811388300841896	-1.0	15.811388300841896	29.154759474226502	-1.0	29.154759474226502	9.848857801796104	-1.0	9.848857801796104	2.9602173227548927	-1.0	2.9602173227548927	-1.0	-1.0	-1.0	10.816653826391969	-1.0	10.816653826391969	92.97662337662338	-1.0	92.97662337662338	1.3982009163034976	-1.0	1.3982009163034976	-1.0	-1.0	
1	8	large	C	2.0	-1.0	25.0	-1.0	-1.0	0.5023159926576223	-1.0	25.96150997149434	24.698178070456937	-1.0	-1.0	0.5596400861467171	0.6813452536286677	-1.0	-1.0	50.65968804195128	5.830951894845301	-1.0	7.0710678118654755	-1.0	12.165525060596439	-1.0	0.3356086726029764	-1.0	24.698178070456937	-1.0	-1.0	25.238858928247925	-1.0	24.73863375370596	25.553864678361276	-1.0	-1.0	50.292498432067234	4.47213595499958	-1.0	7.810249675906654	-1.0	11.180339887498949	-1.0	25.059928172283335	-1.0	18.681541692269406	18.027756377319946	17.4928556845359	5.0990195135927845	0.33333333333333337	0.25	0.41666666666666674	0.45863365291505465	0.9650036744440635	1.0679526561683312	3.5355339059327378	82.53480914387858	86.9335144988741	22.619864948040426	17.425436040305623	45.941319041246444	44.8855067305887	-1.0	-1.0	18.304136768217287	17.248324457559544	-1.0	-1.0	0.9453891044644536	2.001201415122182	-1.0	10.447817549473921	8.841814560191672	-1.0	-1.0	9.055385138137417	10.0	-1.0	16.278820596099706	18.027756377319946	-1.0	7.0710678118654755	6.0	-1.0	2.3021728866442674	3.0046260628866577	-1.0	74.54579225877677	75.24735564746659	-1.0	1.4142135623730951	1.0	-1.0	109.03977272727273	109.46153846153847	109.23795180722891	1.228909384607368	1.2424455375966268	1.244988557090468	0.8863636363636364	0.8897920900422073	
3	9	large	C	2.0	-1.0	26.1725046566048	-1.0	-1.0	0.550542773209079	-1.0	21.95449840010015	14.866068747318506	-1.0	-1.0	0.4916555456074707	0.40535449628441594	-1.0	-1.0	36.82056714741866	4.242640687119285	-1.0	4.242640687119285	-1.0	21.95449840010015	-1.0	0.5986353750553487	-1.0	26.68332812825267	-1.0	-1.0	26.1725046566048	-1.0	21.95449840010015	16.1245154965971	-1.0	-1.0	38.07901389669725	4.242640687119285	-1.0	3.0	-1.0	20.615528128088304	-1.0	26.68332812825267	-1.0	13.892443989449804	7.280109889280518	20.615528128088304	15.264337522473747	0.21428571428571427	0.21428571428571427	0.22206996305928156	0.15	0.5240337765485452	0.673882517252691	0.47693585644067304	59.62087398863166	59.62087398863166	18.434948822922024	26.565051177077976	49.51276921727383	45.447614170860554	-1.0	-1.0	15.319568371615134	11.25441332520186	-1.0	-1.0	0.0	4.065155046413281	-1.0	11.117342343847199	11.117342343847199	-1.0	-1.0	9.899494936611665	8.246211251235321	-1.0	17.804493814764857	14.866068747318506	-1.0	7.211102550927978	6.324555320336759	-1.0	2.469039053185236	2.3505318547086316	-1.0	75.50167860127193	76.16128534800367	-1.0	0.0	3.0	-1.0	69.70520231213872	96.25757575757575	81.19672131147541	1.2194211792022556	1.6102628679364082	1.908944074298405	0.7630057803468208	1.0536528733725847	
3	10	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	11	small	A1	1.0	-1.0	27.459060435491963	27.459060435491963	-1.0	0.557494098837895	0.557494098837895	21.02379604162864	-1.0	21.02379604162864	-1.0	0.4247448213519573	-1.0	0.4247448213519573	-1.0	-1.0	3.605551275463989	3.605551275463989	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	28.635642126552707	28.635642126552707	-1.0	28.160255680657446	28.160255680657446	21.095023109728988	-1.0	21.095023109728988	-1.0	-1.0	6.324555320336759	6.324555320336759	-1.0	-1.0	-1.0	-1.0	29.410882339705484	29.410882339705484	14.035668847618199	-1.0	19.4164878389476	-1.0	0.1732717365533736	0.3174203325344759	-1.0	-1.0	-1.0	0.7228737227885262	-1.0	51.736011214119344	66.99112991717713	-1.0	-1.0	-1.0	-1.0	56.10117103459129	-1.0	-1.0	-1.0	52.061706121062684	-1.0	-1.0	-1.0	-1.0	7.139495949178112	15.306138974089862	5.202681216407825	-1.0	9.486832980505138	-1.0	9.486832980505138	17.0	-1.0	17.0	7.615773105863909	-1.0	7.615773105863909	2.2322093586152834	-1.0	2.2322093586152834	-1.0	-1.0	-1.0	3.0	-1.0	3.0	55.4392523364486	-1.0	55.4392523364486	1.4971341874578556	-1.0	1.4971341874578556	-1.0	-1.0	
3	12	no	A	1.0	21.840329667841555	-1.0	21.840329667841555	0.5229810458438495	-1.0	0.5229810458438495	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	23.08679276123039	-1.0	21.840329667841555	-1.0	-1.0	-1.0	-1.0	-1.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.05	0.2688016652852352	-1.0	-1.0	-1.0	-1.0	-1.0	16.699244233993625	69.8293465881496	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	14.866068747318506	-1.0	14.866068747318506	28.600699292150182	-1.0	28.600699292150182	8.602325267042627	-1.0	8.602325267042627	3.3247637591344823	-1.0	3.3247637591344823	-1.0	-1.0	-1.0	4.47213595499958	-1.0	4.47213595499958	62.68668407310705	-1.0	62.68668407310705	1.6909492273730684	-1.0	1.6909492273730684	-1.0	-1.0	
3	13	no	A	1.0	27.892651361962706	-1.0	27.892651361962706	0.5399027152421211	-1.0	0.5399027152421211	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	29.832867780352597	-1.0	29.832867780352597	-1.0	-1.0	-1.0	-1.0	-1.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.08333333333333333	0.16666666666666666	-1.0	-1.0	-1.0	-1.0	-1.0	13.495733280795813	13.495733280795813	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.54400374531753	-1.0	8.54400374531753	14.422205101855956	-1.0	14.422205101855956	6.4031242374328485	-1.0	6.4031242374328485	2.2523700254858916	-1.0	2.2523700254858916	-1.0	-1.0	-1.0	2.0	-1.0	2.0	101.70469798657719	-1.0	101.70469798657719	1.376534248383265	-1.0	1.376534248383265	-1.0	-1.0	
