image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	iso	0.27412192167945093	0.8497790868924889	-1.0	0.269803817390713	169.16825604558818	71.40848960167062	2.0	0.16053019145802652	
1	1	no	B	0.08073654390934844	-1.0	-1.0	-1.0	59.584195097769026	27.294688127912362	2.0	0.41228070175438597	
1	2	large	api	0.2936542669584245	0.96274217585693	-1.0	0.2637117172232137	70.82367431705232	26.92582403567252	2.0	0.15499254843517138	
1	3	large	api	0.40086580086580087	0.8714902807775378	-1.0	0.26343148245860887	166.02976387853937	74.54577427874013	1.0	0.15334773218142547	
1	4	no	B	0.09385382059800665	-1.0	-1.0	-1.0	93.5487507934273	36.05551275463989	2.0	0.8584070796460177	
1	5	medium	iso	0.29041095890410956	0.9088050314465409	-1.0	0.1946491587407633	135.57295157622633	54.78543233363624	4.0	0.2751572327044025	
1	6	no	B	0.23011176857330704	-1.0	-1.0	-1.0	93.34119835628965	37.8549864614954	2.0	0.14285714285714285	
1	7	medium	api	0.19055745164960183	0.9283582089552239	-1.0	0.20635567340707406	60.412033300143115	24.352311697656706	3.0	0.408955223880597	
1	8	small	api	0.05358435916002897	0.2972972972972973	0.027157036625762812	-1.0	92.77440716340334	37.73592452822641	1.0	0.918918918918919	
2	9	no	B	0.15442092154420922	-1.0	-1.0	-1.0	75.95195620537008	30.14962686336267	3.0	0.6774193548387096	
2	10	large	iso	0.3410206084396467	0.9410071942446043	-1.0	0.2339974674219269	76.13081625456229	28.792360097775937	4.0	0.17266187050359713	
2	11	large	iso	0.3494667760459393	0.8732394366197183	-1.0	0.2120554573863141	93.59618594880232	36.37824822208721	6.0	0.1784037558685446	
2	12	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	13	large	E	0.1105573176257363	0.5081967213114754	-1.0	0.012009332235037628	140.38523409878368	54.63926866957186	4.0	0.5122950819672131	
2	14	no	B	0.1292824822236587	-1.0	-1.0	-1.0	13.416407864998739	6.708203932499369	1.0	0.13	
2	15	large	F	0.07824662023760753	0.7958115183246073	-1.0	0.04929067647437636	36.05136343587919	11.933355301524315	2.0	0.39267015706806285	
2	16	large	iso	0.2780979827089337	0.9395509499136442	-1.0	0.23922674676795724	55.34740846857572	22.80350850198276	4.0	0.15716753022452504	
2	17	large	E	0.10891089108910891	0.5098814229249012	4.6595578853610265E-5	-1.0	180.4440060667095	70.47780279421852	5.0	0.4189723320158103	
2	18	no	B	0.2341296928327645	-1.0	-1.0	-1.0	37.68420619273651	18.439088914585774	2.0	0.239067055393586	
3	19	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
