image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	large	2477.0	227.13708480000008	46.52956049652737	38.47076812334269	1.0809241866606953	1.6523046776513013	35.77708763999664	35.78752420844035	16.55294535724685	1.4399448282989993	58.122052380942065	22.360679774997898	49.93885149749549	0.9997083741143162	1.2094783329344259	0.8265616232155498	0.8089929862831311	0.7059228650137741	82.0	4.0	46.52956049652737	
1	1	no	1412.0	139.63961019999994	48.010415536631214	35.805027579936315	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3408847522724519	-1.0	-1.0	-1.0	81.0	4.0	-1.0	
1	2	large	2285.0	221.7228712400001	49.49747468305833	36.345563690772494	58.18296515854085	68.59132009459788	34.48187929913333	28.45799131203226	14.7648230602334	49.2146319705837	23.028945351382724	19.209372712298546	52.86208808853921	1.2116764996183735	1.3618573948716848	0.8897234792579282	0.726144641217553	0.5565395095367848	115.0	4.0	41.182520563948	
1	3	large	2310.0	222.7939390400001	45.17742799230607	37.589892258425	12.528807709151522	9.730333067897988	38.897300677553446	30.973888426970735	16.278820596099706	11.001068942761448	58.419959943029944	20.615528128088304	65.09076914728635	1.2558094140896867	1.2018504251546631	1.044896592625559	0.866773294256234	0.7303370786516854	132.0	4.0	44.27188724235731	
1	4	no	1204.0	128.81118307999986	43.60045871318328	33.60059523282288	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.297609712300334	-1.0	-1.0	-1.0	118.0	4.0	-1.0	
1	5	medium	2190.0	211.48023056000005	48.0	38.0	31.42956561483852	56.309932474020215	28.844410203711913	31.429124187409975	15.811388300841896	35.0	34.0	21.095023109728988	42.064764880413215	0.9177605469282069	1.263157894736842	0.7265604329848304	0.6541446252809142	0.48676171079429736	107.0	3.0	45.880278987817846	
1	6	no	1521.0	144.7106779999999	49.040799340956916	38.27531841800928	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.281264307337082	-1.0	-1.0	-1.0	156.0	3.0	-1.0	
1	7	medium	1758.0	178.50966783999996	44.68780594300866	37.64306044943742	3.5763343749973444	0.656656399828158	23.430749027719962	21.595861878700145	16.278820596099706	0.9174762361859564	42.823298125965515	19.79898987322333	80.05505917804274	1.08496475664301	1.1871459283453805	0.913927033515763	0.503106680082621	0.31390134529147984	118.0	3.0	42.638011210655684	
1	8	small	1381.0	140.81118307999986	44.94441010848846	36.05551275463989	8.910280851132022	12.724355685422367	5.656854249492381	-1.0	14.142135623730951	4.538940426797845	26.625609418811	21.2602916254693	20.607111908865104	-1.0	1.2465336553202861	-1.0	0.16329465002261223	0.04069329314242653	131.0	3.0	44.40720662234904	
2	9	no	1606.0	154.61017291999994	49.8196748283246	39.824615503479755	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2509769196383456	-1.0	-1.0	-1.0	104.0	5.0	-1.0	
2	10	large	2038.0	207.4802305600001	47.50789408087881	33.61547262794322	2.7263109939062673	9.687010387650119	32.64965543462902	27.471916080677534	14.212670403551895	6.504182220200067	54.468964939614196	21.633307652783937	38.65418976743435	1.1884739069071801	1.4132746133513343	0.840936287738815	0.7345908033321723	0.5859922178988327	109.0	3.0	46.647615158762406	
2	11	large	2438.0	226.7939390400001	48.373546489791295	38.47076812334269	37.874983651098205	46.005086005254185	35.0	31.60933411592533	16.401219466856727	38.20269825347621	42.265857411185955	21.213203435596427	53.10344827586207	1.1072678681442516	1.257410466427364	0.8805938058478968	0.7111909326333252	0.5790155440414507	85.0	4.0	44.94441010848846	
2	12	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	13	large	2207.0	213.72287124000013	42.05948168962618	35.73513677041127	23.588857384149804	33.83861180671755	35.608987629529715	34.155884900542176	16.401219466856727	27.389781179451305	46.39691211068277	19.1049731745428	49.18651528683241	1.042543261087183	1.176978332553955	0.8857794848482403	0.9044087464309166	0.8179571663920923	71.0	3.0	39.408120990476064	
2	14	no	1547.0	145.88225087999996	48.30113870293329	38.47076812334269	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.255528315631054	-1.0	-1.0	-1.0	79.0	4.0	-1.0	
2	15	large	2441.0	228.45079328000014	45.69463863518345	36.76955262170047	32.2928864986834	47.44241531065711	39.21734310225516	33.74013047259553	16.492422502470642	39.26062342505704	42.37201404187081	19.4164878389476	53.29993448897403	1.1623352533893827	1.2427303401079626	0.9353076977974196	0.8827936723770707	0.7895894428152492	114.0	3.0	41.400483088968905	
2	16	large	2082.0	205.48023056000005	48.08326112068523	36.069377593742864	51.00900595749454	61.18920625702694	32.28002478313795	27.898166815043215	16.55294535724685	43.1335136523794	28.05704083387224	19.1049731745428	49.227037794285366	1.1570661612694908	1.3330770955422995	0.8679664253017513	0.677485358930888	0.5043352601156069	75.0	4.0	39.6232255123179	
2	17	large	2323.0	222.55129836000015	46.69047011971501	35.38361202590826	1.7357045889283924	4.846240066249607	37.013511046643494	33.772621132661186	15.0	2.484447033893092	58.10599546746597	21.213203435596427	29.407995078155203	1.0959620487036488	1.3195507028939766	0.8305569814786474	0.8381916350840253	0.7220163083765753	123.0	3.0	45.34313619501854	
2	18	no	1465.0	141.8822508799999	48.79549159502341	37.48332962798263	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3017918119684824	-1.0	-1.0	-1.0	89.0	4.0	-1.0	
3	19	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	20	small	1411.0	142.95331867999985	47.16990566028302	35.12833614050059	0.4705913028952011	4.864514437760525	6.0	-1.0	15.132745950421556	0.3391993216020352	27.61303570201424	21.095023109728988	4.000000000000001	-1.0	1.3427879268639573	-1.0	0.17529398524968515	0.04985119047619048	77.0	4.0	45.89117562233506	
3	21	medium	2155.0	211.23758988000006	50.039984012787215	37.05401462729781	2.2906100426385336	4.834406306263276	32.2490309931942	26.000528527929493	16.1245154965971	1.8385297640480924	54.11019616003795	22.0	21.815520965984277	1.2403221326271359	1.3504605240783438	0.9184438275036771	0.6404491455332368	0.4750171115674196	84.0	3.0	48.25971404805462	
3	22	medium	1905.0	188.40916276000002	46.32493928760188	38.07886552931954	45.19035072662973	49.69868051729944	24.596747752497688	22.92828380626464	17.0	32.29362030487065	29.99038926516063	18.867962264113206	42.343768282780836	1.072768810798529	1.2165525060596438	0.881810530540253	0.5290656464139184	0.325678496868476	67.0	3.0	41.400483088968905	
3	23	small	1708.0	175.58073563999997	44.553338819890925	37.656340767525464	37.122919561216605	45.90938044919915	20.0	20.838548964050695	17.029386365926403	26.260658145729163	27.93686212090041	18.35755975068582	36.5625	0.9597597238897342	1.1831563532671603	0.8111858768618871	0.442407385758723	0.24399126001456664	63.0	3.0	40.52159917870962	
3	24	no	1556.0	147.2964644399999	50.15974481593781	36.76955262170047	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3641652193052463	-1.0	-1.0	-1.0	74.0	3.0	-1.0	
3	25	no	1494.0	147.53910511999993	51.66236541235796	35.17101079013795	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.468890550818182	-1.0	-1.0	-1.0	69.0	5.0	-1.0	
3	26	large	2558.0	236.20815260000012	48.91829923454004	36.235341863986875	7.943471810590417	1.761517372666205	41.23105625617661	34.2670908653199	15.620499351813308	4.292872059863521	63.14277394120486	21.633307652783937	139.65357764188852	1.2032260461860393	1.3500162194732415	0.8912678446600607	0.8820140274337384	0.8001407459535539	84.0	3.0	47.20169488482379	
3	27	small	1606.0	156.61017291999988	51.088159097779204	37.05401462729781	18.989854276632144	23.922505883013258	8.54400374531753	-1.0	15.652475842498529	11.098462148827895	27.446418700627728	20.8806130178211	27.369774709576504	-1.0	1.3787482844070125	-1.0	0.18244693892112926	0.05866842452208306	83.0	3.0	46.32493928760188	
3	28	no	1459.0	148.71067799999997	51.03920062069938	35.22782990761707	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.4488318115122818	-1.0	-1.0	-1.0	70.0	4.0	-1.0	
4	29	medium	2205.0	209.82337632000008	47.01063709417264	40.311288741492746	8.226722464108178	12.630494206880144	28.600699292150182	28.57414332611444	15.811388300841896	9.295768511381647	48.94410626890166	21.633307652783937	42.51192377778786	1.0009293705057982	1.1661903789690602	0.858289854346632	0.6069641179480741	0.4308890330953926	91.0	3.0	47.50789408087881	
4	30	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	31	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
4	32	small	1536.0	158.02438647999992	48.82622246293481	35.22782990761707	11.982913812323325	16.348171547351257	12.806248474865697	16.855941965987242	15.0	7.864626436982789	32.58787166313006	20.518284528683193	27.94090576334333	0.7597468299728833	1.386012779980451	0.5481528315948134	0.2914730449802996	0.1352549889135255	95.0	3.0	46.22769732530488	
4	33	large	3389.0	267.56349160000025	55.17245689653489	43.86342439892262	56.773647183151866	66.12262477243914	44.598206241955516	40.16260389222403	19.924858845171276	59.48620352642165	29.91102536974349	22.360679774997898	65.05391683826578	1.1104411049053091	1.2578237484324193	0.8828272691537364	0.840318988936341	0.7397330595482546	91.0	3.0	48.662100242385755	
4	34	large	2406.0	220.79393904000017	49.51767361255979	39.59797974644666	18.878036440556684	30.447370784589793	32.28002478313795	31.885970125753953	17.72004514666935	23.30481050118026	48.79036790187178	21.470910553583888	45.989072345359475	1.0123582458313138	1.2505101000008283	0.8095562329569695	0.6867462425512888	0.5276190476190477	96.0	4.0	47.16990566028302	
4	35	small	1765.0	177.33809495999998	48.33218389437829	37.57658845611187	0.9022211615301643	10.064568207251874	19.4164878389476	19.92952083015119	15.264337522473747	3.7242264987106557	40.184595303632385	21.02379604162864	21.310779335430276	0.9742576354155275	1.2862312913485634	0.7574513557309404	0.40948227372354146	0.22314622314622315	103.0	4.0	46.51881339845203	
4	36	small	1691.0	171.23758987999997	51.66236541235796	35.38361202590826	35.68667628259671	46.46077796818204	15.033296378372908	15.599638867498834	14.0	23.963285268077616	28.544287656683185	22.20360331117452	33.05723075741681	0.9636951538470627	1.4600647716386392	0.6600358919457402	0.3008252838589882	0.1213527851458886	99.0	4.0	47.53945729601885	
4	37	no	1742.0	164.99494919999992	57.245087125446844	38.01315561749642	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.5059283081223198	-1.0	-1.0	-1.0	84.0	4.0	-1.0	
4	38	small	2194.0	200.79393904000008	53.85164807134504	42.190046219457976	61.27386933469563	72.70755060012229	20.615528128088304	22.598332666497058	16.492422502470642	38.996021017180894	16.78120939515519	22.02271554554524	40.84208402734476	0.9122588127331915	1.276406472541591	0.7147087016228415	0.41675125645585354	0.20881542699724517	86.0	3.0	46.486557196677836	
4	39	medium	1875.0	187.82337632	48.104053883222775	38.27531841800928	2.0805760501544626	5.440332031005482	22.80350850198276	22.024286275079994	16.492422502470642	2.972722430985677	43.4483648663136	21.18962010041709	31.35482419022643	1.035380135236638	1.256790429745684	0.8238287869888944	0.48798868542623175	0.2851267991775189	125.0	3.0	45.880278987817846	
4	40	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
