image_number	cell_id	Cgroup	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C126	C127	C128	
1	0	large	2150.0	207.48023056	42.95346318982906	35.90264614203248	7.771510363379258	8.824269153828537	35.05709628591621	31.88230749277352	16.0312195418814	7.892262342196234	53.42224616013833	19.026297590440446	51.44742701699392	1.0995783882287156	1.196387113637898	0.919082440536481	0.8477286424019707	0.7366720516962844	74.0	4.0	40.792156108742276	
1	1	medium	1569.0	166.61017291999994	41.617304093369626	35.805027579936315	53.65254179111473	61.78264414527071	17.88854381999832	22.13357934276494	14.7648230602334	31.04477880406094	18.628668795489485	18.973665961010276	35.23170520646009	0.8082083581228697	1.1623312955270637	0.6953339045701118	0.4510797867236067	0.26634382566585957	68.0	3.0	39.05124837953327	
1	2	small	1599.0	168.26702716	44.14748010928823	36.87817782917155	1.2319774026397	4.2621315719144945	16.76305461424021	18.827944666292506	14.560219778561036	1.698851209952087	37.31203874480886	20.615528128088304	22.858710837600192	0.8903284405892137	1.197116633955989	0.7437273990981449	0.3959360499619398	0.18973214285714285	68.0	3.0	43.68065933568311	
1	3	large	2207.0	215.13708480000008	43.46262762420146	34.539832078341085	0.9733783275209049	2.64905679469166	37.33630940518894	33.720095188860206	16.15549442140351	1.4725294695335593	56.543413284995935	18.788294228055936	31.860317359094424	1.1072421117459772	1.2583334952417327	0.87992739280398	0.9133113379869259	0.8468619246861925	79.0	4.0	41.78516483155236	
1	4	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	5	no	1351.0	135.88225087999984	44.82186966202994	37.013511046643494	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2109596845742774	-1.0	-1.0	-1.0	71.0	3.0	-1.0	
1	6	small	1433.0	150.1248915599999	44.41846462902562	35.84689665786984	8.63873890544749	6.690008992359811	11.40175425099138	16.683792759073704	14.866068747318506	4.254987235117	30.54657730767897	19.849433241279208	36.52426361758258	0.6834030136696815	1.2391160398894383	0.5515246285817259	0.273361215084678	0.11517509727626458	115.0	3.0	43.829214001622255	
1	7	small	2287.0	190.85281360000005	58.137767414994535	44.181444068749045	37.68835310753264	55.79837660743318	13.892443989449804	19.40877986009689	18.027756377319946	26.21359690545907	27.432331050883114	24.08318915758459	31.694737484912427	0.7157814190067512	1.3158865365407386	0.5439537521893258	0.26277834928192717	0.10589941972920697	51.0	3.0	53.33854141237835	
1	8	small	2036.0	194.89444412	52.392747589718944	39.395431207184416	32.38873080458893	55.634760938740314	18.867962264113206	22.565850024672155	16.64331697709324	27.599239713928448	29.445038788874953	22.20360331117452	33.43513901214179	0.8361290287529209	1.3299193836508698	0.6287065509622058	0.39407302419343965	0.2133492252681764	90.0	3.0	48.093658625644196	
1	9	no	1336.0	141.53910511999987	48.05205510693585	33.734255586866	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.4244290935426571	-1.0	-1.0	-1.0	97.0	3.0	-1.0	
1	10	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	11	large	2172.0	210.65180344000004	45.5411901469428	35.35533905932738	50.31031157451105	59.03624346792647	31.240998703626616	32.91768417031658	17.029386365926403	41.21543582729587	28.00142853498728	19.1049731745428	48.065044726809155	0.9490642944985203	1.2880993750483696	0.7367943132981349	0.7739282737373584	0.6567505720823799	80.0	3.0	40.718546143004666	
1	12	medium	1662.0	175.68124071999998	41.617304093369626	36.61966684720111	2.939633619176334	4.2548668801510985	22.02271554554524	23.477390235156673	15.620499351813308	2.5470174560607273	40.14236410543298	17.804493814764857	34.32952717393829	0.9380393359295488	1.1364741319745373	0.8253943574586927	0.5256603941409752	0.33924254633360196	83.0	4.0	40.80441152620633	
1	13	no	1244.0	133.05382375999986	43.829214001622255	33.60059523282288	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.3044177848018448	-1.0	-1.0	-1.0	83.0	3.0	-1.0	
2	14	small	1516.0	150.6101729199999	48.84669896727925	35.84689665786984	14.483857638787036	22.890551656248327	8.0	-1.0	15.033296378372908	9.17155118916224	28.59382807339812	22.20360331117452	23.578947368421055	-1.0	1.3626479143643089	-1.0	0.21007866707927117	0.07137809187279152	85.0	4.0	47.29693436154187	
2	15	no	1066.0	119.39696951999987	38.118237105091836	34.132096331752024	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1167857003155013	-1.0	-1.0	-1.0	87.0	4.0	-1.0	
2	16	no	1263.0	133.53910511999982	45.70557952810576	33.54101966249684	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.36267710367823	-1.0	-1.0	-1.0	89.0	3.0	-1.0	
2	17	small	1456.0	151.78174579999995	47.01063709417264	36.235341863986875	40.399904333736714	43.78112476486871	7.0710678118654755	-1.0	11.045361017187261	18.081014266989474	20.61523257608393	20.396078054371138	26.13220713080719	-1.0	1.2973697687366095	-1.0	0.1882364321226524	0.04974765681326604	96.0	5.0	42.5440947723653	
2	18	medium	2044.0	200.89444412	45.09988913511872	39.05124837953327	11.13332781244793	21.632963748813154	29.410882339705484	26.87294602143954	15.524174696260024	14.70070132575404	47.348038199184934	20.223748416156685	39.87610427653317	1.0944420576828886	1.1548898180360232	0.947659283674411	0.6307544565646086	0.45584045584045585	104.0	3.0	44.181444068749045	
2	19	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	20	no	1139.0	123.98275595999988	39.56008088970496	35.11409973215888	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1266152682671309	-1.0	-1.0	-1.0	109.0	4.0	-1.0	
2	21	no	1310.0	137.6396101999999	45.27692569068709	35.84689665786984	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.2630640281868577	-1.0	-1.0	-1.0	94.0	4.0	-1.0	
2	22	large	2021.0	201.82337632000008	41.48493702538308	36.40054944640259	21.960564020096474	32.22631095367362	31.144823004794873	32.039044534423674	16.278820596099706	23.719452662973243	44.09274102752917	19.209372712298546	44.47968916795088	0.9720896318032198	1.1396788690364938	0.8529504742200256	0.7659366492513944	0.6206896551724138	83.0	3.0	41.340053217188775	
2	23	medium	1608.0	170.26702715999994	44.01136216933077	35.4682957019364	7.042812991369281	7.73669182361559	20.591260281974	21.73652177479439	16.1245154965971	5.157759015197772	38.87979314226573	19.235384061671343	38.313246590230335	0.9473116488145573	1.240864870959333	0.7634285335857522	0.48564984252487214	0.30307941653160453	98.0	3.0	42.485291572496	
2	24	no	1172.0	125.63961019999985	41.036569057366385	34.655446902326915	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.1841304246638071	-1.0	-1.0	-1.0	115.0	4.0	-1.0	
2	25	small	1567.0	162.26702716	43.965895873961216	37.64306044943742	7.125016348901795	9.603897851474414	15.132745950421556	18.307658183401006	15.132745950421556	5.094858083687177	34.747440414865316	20.396078054371138	30.53815399003992	0.8265801010061437	1.1679681553261776	0.7077077377810059	0.36010288393083534	0.1711509715994021	93.0	4.0	43.41658669218482	
2	26	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
2	27	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
3	28	small	1402.0	151.78174579999992	42.01190307520001	36.013886210738214	5.739098498089618	10.110089794158114	13.152946437965905	16.903750725353493	13.038404810405298	4.260697252385723	32.404167469492286	19.026297590440446	24.271932086555676	0.7781081637839196	1.1665473375842836	0.6670180786621536	0.3172092064916766	0.14729950900163666	110.0	3.0	41.30375285612676	
3	29	complex	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
