image_number	cell_id	Cgroup	Agroup	A101	A102	A103	A104	A120	A121	A122	A123	
1	0	large	iso	0.2118365429779239	0.8492239467849224	-1.0	0.2452079255841607	158.18126295011	69.35426162394656	2.0	0.2017738359201774	
1	1	small	api	0.16482412060301507	0.7621951219512195	-1.0	0.10939018394079972	63.73607968903684	25.40772168725828	4.0	0.2774390243902439	
1	2	no	B	0.0667172100075815	-1.0	-1.0	-1.0	90.62219554115015	38.05259518088089	3.0	0.8295454545454546	
1	3	no	B	0.1610239471511148	-1.0	-1.0	-1.0	42.179448597014705	20.0	3.0	0.37435897435897436	
1	4	no	A	0.7501701837985024	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.009074410163339383	
1	5	small	api	0.11877394636015326	0.4645161290322581	-1.0	0.008228422950615617	36.64396718830317	12.165525060596439	2.0	0.5161290322580645	
1	6	small	api	0.1787709497206704	0.5347222222222222	-1.0	0.08580836115326008	69.23666200675456	24.440306508910552	3.0	0.4722222222222222	
1	7	small	api	0.08644859813084112	0.11711711711711711	0.061298225291874404	-1.0	21.861197675266244	10.295630140987	1.0	0.5405405405405406	
1	8	no	B	0.033393501805054154	-1.0	-1.0	-1.0	82.09847481671324	33.54101966249684	2.0	1.8108108108108107	
1	9	medium	iso	0.3118942731277533	0.7725988700564972	-1.0	0.14267301425663137	88.75210227286247	29.8617599122164	2.0	0.18926553672316385	
1	10	medium	iso	0.18620689655172415	0.9528619528619529	-1.0	0.16960706941855883	41.73331161717575	15.811388300841896	2.0	0.3367003367003367	
1	11	complex	-	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
1	12	small	api	0.2069988137603796	0.5759312320916905	-1.0	0.05526355581755135	77.80101263467873	28.196744602477835	6.0	0.3438395415472779	
3	13	no	B	0.12640449438202248	-1.0	-1.0	-1.0	22.297082656411792	9.486832980505138	1.0	0.2722222222222222	
3	14	large	iso	0.34303435114503816	0.9443671766342142	-1.0	0.26434618596909387	0.0	0.0	0.0	0.015299026425591099	
3	15	no	B	0.11754537597234227	-1.0	-1.0	-1.0	10.770329614269007	5.385164807134504	1.0	0.19852941176470587	
